,precision,recall,f1-score,support
Automotive,0.6851851851851852,0.583596214511041,0.6303236797274276,317.0
Construction,0.606508875739645,0.5310880829015544,0.5662983425414364,386.0
Consumer Goods,0.5322245322245323,0.5059288537549407,0.5187436676798379,506.0
Financial Services,0.7639257294429708,0.6990291262135923,0.7300380228136882,412.0
Human Resources,0.6510067114093959,0.5025906735751295,0.567251461988304,193.0
Information Technology and Services,0.5369718309859155,0.8106312292358804,0.6460153561027271,1505.0
Insurance,0.7403846153846154,0.616,0.6724890829694323,125.0
Legal Services,0.8,0.75,0.7741935483870969,128.0
"Leisure, Travel & Tourism",0.8317757009345794,0.7295081967213115,0.777292576419214,122.0
Logistics and Supply Chain,0.717948717948718,0.5714285714285714,0.6363636363636365,147.0
Machinery,0.4955357142857143,0.4396039603960396,0.46589716684155297,505.0
Management Consulting,0.5274914089347079,0.46026986506746626,0.49159327461969576,667.0
Marketing and Advertising,0.5902527075812274,0.6264367816091954,0.6078066914498141,522.0
Mechanical or Industrial Engineering,0.5209302325581395,0.5823223570190641,0.5499181669394435,577.0
Media Production,0.3949579831932773,0.1950207468879668,0.2611111111111111,241.0
Medical Practice,0.7049689440993789,0.6376404494382022,0.6696165191740413,356.0
Real Estate,0.7731958762886598,0.635593220338983,0.6976744186046511,236.0
Recreational Facilities and Services,0.5736434108527132,0.47435897435897434,0.519298245614035,156.0
Renewables & Environment,0.6829268292682927,0.27184466019417475,0.3888888888888889,103.0
Telecommunications,0.7346938775510204,0.26277372262773724,0.38709677419354843,137.0
Wholesale,0.5870967741935483,0.3922413793103448,0.4702842377260981,232.0
accuracy,0.5865575069325234,0.5865575069325234,0.5865575069325234,0.5865575069325234
macro avg,0.6405536027648685,0.5370431935995319,0.5727711842931277,7573.0
weighted avg,0.5951667205469447,0.5865575069325234,0.5786141281713235,7573.0
