,precision,recall,f1-score,support
Automotive,0.6550218340611353,0.47318611987381703,0.5494505494505495,317.0
Construction,0.535483870967742,0.43005181347150256,0.47701149425287354,386.0
Consumer Goods,0.4513064133016627,0.37549407114624506,0.4099244875943905,506.0
Financial Services,0.775811209439528,0.6383495145631068,0.7003994673768309,412.0
Human Resources,0.6382978723404256,0.46632124352331605,0.5389221556886228,193.0
Information Technology and Services,0.45175280086736536,0.8305647840531561,0.5852059925093633,1505.0
Insurance,0.6947368421052632,0.528,0.6000000000000001,125.0
Legal Services,0.7927927927927928,0.6875,0.7364016736401674,128.0
"Leisure, Travel & Tourism",0.81,0.6639344262295082,0.7297297297297298,122.0
Logistics and Supply Chain,0.6915887850467289,0.5034013605442177,0.5826771653543307,147.0
Machinery,0.46136363636363636,0.401980198019802,0.4296296296296297,505.0
Management Consulting,0.4729241877256318,0.39280359820089955,0.4291564291564292,667.0
Marketing and Advertising,0.5678496868475992,0.5210727969348659,0.5434565434565435,522.0
Mechanical or Industrial Engineering,0.47571189279731996,0.49220103986135183,0.48381601362862015,577.0
Media Production,0.43119266055045874,0.1950207468879668,0.26857142857142857,241.0
Medical Practice,0.7030075187969925,0.5252808988764045,0.6012861736334405,356.0
Real Estate,0.7527472527472527,0.5805084745762712,0.6555023923444976,236.0
Recreational Facilities and Services,0.5643564356435643,0.36538461538461536,0.44357976653696496,156.0
Renewables & Environment,0.4594594594594595,0.1650485436893204,0.24285714285714288,103.0
Telecommunications,0.6136363636363636,0.19708029197080293,0.2983425414364641,137.0
Wholesale,0.5138888888888888,0.31896551724137934,0.39361702127659576,232.0
accuracy,0.5262115410009244,0.5262115410009244,0.5262115410009244,0.5262115410009244
macro avg,0.595853828779991,0.4643880978594546,0.5095017999106959,7573.0
weighted avg,0.547212426770533,0.5262115410009244,0.5161651962804529,7573.0
