,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,185,1,10,5,1,47,0,0,0,3,25,4,6,19,0,3,2,3,0,0,3
Construction,3,205,20,4,1,70,0,0,3,2,20,10,8,15,3,1,11,0,4,0,6
Consumer Goods,12,13,256,3,0,83,0,1,0,2,24,6,13,46,1,10,2,15,3,2,14
Financial Services,7,4,4,288,0,60,10,2,0,0,3,16,5,1,1,6,4,1,0,0,0
Human Resources,0,3,3,1,97,28,3,1,0,0,0,40,9,2,2,4,0,0,0,0,0
Information Technology and Services,9,10,24,18,10,1220,1,6,2,5,12,82,45,14,18,16,4,2,1,5,1
Insurance,1,0,2,16,2,16,77,0,0,0,2,2,0,3,1,1,2,0,0,0,0
Legal Services,0,0,1,4,0,10,0,96,0,0,1,11,1,1,0,2,0,1,0,0,0
"Leisure, Travel & Tourism",0,2,1,1,0,17,0,0,89,0,1,2,4,0,0,0,2,3,0,0,0
Logistics and Supply Chain,4,1,4,0,1,24,0,1,0,84,8,5,1,7,1,1,0,0,2,0,3
Machinery,14,20,22,4,2,58,1,0,1,1,222,15,3,118,0,3,2,5,1,1,12
Management Consulting,3,17,7,10,21,186,4,10,1,4,8,307,43,12,15,12,3,0,1,1,2
Marketing and Advertising,1,5,9,3,2,95,0,1,3,4,2,26,327,4,24,8,2,4,0,1,1
Mechanical or Industrial Engineering,17,17,28,3,2,61,0,0,0,5,68,15,3,336,1,4,0,3,1,0,13
Media Production,1,1,7,2,3,102,0,0,4,2,0,11,50,1,47,3,4,2,0,1,0
Medical Practice,3,2,13,3,4,38,4,0,1,1,6,13,10,20,2,227,1,5,0,1,2
Real Estate,0,18,1,10,0,31,3,1,2,2,1,3,6,3,3,2,150,0,0,0,0
Recreational Facilities and Services,1,1,9,1,0,30,1,0,1,0,9,1,5,8,0,9,1,74,0,0,5
Renewables & Environment,4,9,7,0,0,16,0,0,0,0,14,4,2,17,0,1,1,0,28,0,0
Telecommunications,0,5,15,1,1,54,0,1,0,0,5,4,7,2,0,3,1,0,0,36,2
Wholesale,5,4,38,0,2,26,0,0,0,2,17,5,6,16,0,6,2,11,0,1,91
