,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,150,2,15,2,3,61,0,0,0,2,22,13,3,31,0,3,0,2,0,1,7
Construction,2,166,19,2,1,94,0,0,2,3,22,16,12,19,0,3,17,0,3,1,4
Consumer Goods,16,16,190,2,2,122,0,2,4,7,29,9,7,49,2,8,1,16,6,1,17
Financial Services,6,2,5,263,0,85,10,7,0,0,1,19,5,1,1,1,5,0,0,1,0
Human Resources,1,2,1,1,90,59,1,1,0,0,0,28,6,0,0,3,0,0,0,0,0
Information Technology and Services,5,11,11,17,5,1250,2,3,2,6,7,84,40,16,20,11,3,1,3,6,2
Insurance,2,0,0,14,1,27,66,0,0,1,0,4,3,2,1,2,2,0,0,0,0
Legal Services,0,0,0,5,1,16,1,88,0,0,1,11,0,0,0,4,1,0,0,0,0
"Leisure, Travel & Tourism",1,0,2,1,0,27,0,0,81,0,0,1,3,1,0,0,1,3,0,0,1
Logistics and Supply Chain,5,1,8,0,0,30,0,1,0,74,8,8,4,2,1,2,1,0,0,0,2
Machinery,8,21,22,4,2,86,1,0,0,3,203,15,4,113,0,7,0,0,3,2,11
Management Consulting,3,18,7,10,26,247,3,6,4,5,7,262,36,8,6,8,5,2,1,2,1
Marketing and Advertising,5,7,10,3,2,154,0,1,1,2,2,22,272,2,26,4,1,2,0,1,5
Mechanical or Industrial Engineering,16,12,38,1,3,97,1,0,1,1,78,15,8,284,1,5,0,1,4,1,10
Media Production,0,2,10,2,0,106,0,0,3,1,1,7,53,0,47,2,4,1,0,1,1
Medical Practice,2,5,17,0,2,77,4,0,0,0,10,15,4,22,1,187,1,6,0,0,3
Real Estate,0,17,1,8,0,44,5,2,2,1,2,10,5,1,1,0,137,0,0,0,0
Recreational Facilities and Services,1,2,14,2,1,43,0,0,0,0,10,1,8,4,1,8,0,57,0,0,4
Renewables & Environment,1,12,4,0,0,29,0,0,0,0,18,6,0,14,1,0,1,0,17,0,0
Telecommunications,1,5,9,0,0,75,1,0,0,0,2,4,3,5,0,2,1,0,0,27,2
Wholesale,4,9,38,2,2,38,0,0,0,1,17,4,3,23,0,6,1,10,0,0,74
