,precision,recall,f1-score,support
Automotive,0.7847222222222222,0.7129337539432177,0.7471074380165289,317.0
Construction,0.6715686274509803,0.7098445595854922,0.690176322418136,386.0
Consumer Goods,0.599609375,0.6067193675889329,0.6031434184675835,506.0
Financial Services,0.8202531645569621,0.7864077669902912,0.8029739776951673,412.0
Human Resources,0.7771084337349398,0.6683937823834197,0.7186629526462396,193.0
Information Technology and Services,0.6979392624728851,0.8551495016611296,0.7685876381009257,1505.0
Insurance,0.7837837837837838,0.696,0.7372881355932204,125.0
Legal Services,0.8759124087591241,0.9375,0.9056603773584906,128.0
"Leisure, Travel & Tourism",0.8547008547008547,0.819672131147541,0.8368200836820083,122.0
Logistics and Supply Chain,0.816,0.6938775510204082,0.75,147.0
Machinery,0.5729166666666666,0.5445544554455446,0.5583756345177665,505.0
Management Consulting,0.6699834162520729,0.6056971514242878,0.6362204724409448,667.0
Marketing and Advertising,0.6956521739130435,0.7662835249042146,0.7292616226071104,522.0
Mechanical or Industrial Engineering,0.5729984301412873,0.6325823223570191,0.6013179571663921,577.0
Media Production,0.47651006711409394,0.2946058091286307,0.3641025641025641,241.0
Medical Practice,0.8029411764705883,0.7668539325842697,0.7844827586206896,356.0
Real Estate,0.8676470588235294,0.75,0.8045454545454546,236.0
Recreational Facilities and Services,0.7142857142857143,0.6730769230769231,0.6930693069306932,156.0
Renewables & Environment,0.759493670886076,0.5825242718446602,0.6593406593406593,103.0
Telecommunications,0.75,0.39416058394160586,0.5167464114832536,137.0
Wholesale,0.6467391304347826,0.5129310344827587,0.5721153846153847,232.0
accuracy,0.6944407764426251,0.6944407764426251,0.6944407764426251,0.6944407764426251
macro avg,0.7243221732223623,0.6671318296909688,0.6895237414452007,7573.0
weighted avg,0.6948207894414615,0.6944407764426251,0.690022173649237,7573.0
