,precision,recall,f1-score,support
Automotive,0.71875,0.6529968454258676,0.6842975206611571,317.0
Construction,0.6402116402116402,0.6269430051813472,0.6335078534031413,386.0
Consumer Goods,0.5070422535211268,0.4980237154150198,0.5024925224327019,506.0
Financial Services,0.779746835443038,0.7475728155339806,0.7633209417596035,412.0
Human Resources,0.75,0.5751295336787565,0.6510263929618768,193.0
Information Technology and Services,0.6365482233502539,0.8332225913621263,0.721726618705036,1505.0
Insurance,0.7920792079207921,0.64,0.7079646017699115,125.0
Legal Services,0.8898305084745762,0.8203125,0.853658536585366,128.0
"Leisure, Travel & Tourism",0.8319327731092437,0.8114754098360656,0.8215767634854773,122.0
Logistics and Supply Chain,0.7480314960629921,0.6462585034013606,0.6934306569343066,147.0
Machinery,0.47058823529411764,0.4910891089108911,0.4806201550387597,505.0
Management Consulting,0.5977564102564102,0.5592203898050975,0.5778466305189776,667.0
Marketing and Advertising,0.6770642201834862,0.7068965517241379,0.6916588566073102,522.0
Mechanical or Industrial Engineering,0.5038880248833593,0.561525129982669,0.5311475409836065,577.0
Media Production,0.5074626865671642,0.2821576763485477,0.36266666666666664,241.0
Medical Practice,0.7535816618911175,0.7387640449438202,0.7460992907801418,356.0
Real Estate,0.8067632850241546,0.7076271186440678,0.7539503386004515,236.0
Recreational Facilities and Services,0.6691176470588235,0.5833333333333334,0.6232876712328768,156.0
Renewables & Environment,0.6875,0.42718446601941745,0.5269461077844311,103.0
Telecommunications,0.7090909090909091,0.2846715328467153,0.40625,137.0
Wholesale,0.6283783783783784,0.40086206896551724,0.4894736842105263,232.0
accuracy,0.6380562524759013,0.6380562524759013,0.6380562524759013,0.6380562524759013
macro avg,0.6812078284153136,0.5997745876837496,0.6296642548153489,7573.0
weighted avg,0.6416901536317909,0.6380562524759013,0.632418682717935,7573.0
