,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,226,2,10,4,1,16,1,0,0,2,18,5,5,20,1,1,0,2,0,0,3
Construction,0,274,16,2,1,23,0,0,2,0,24,9,7,14,0,0,9,0,3,0,2
Consumer Goods,11,15,307,4,0,37,0,1,1,0,27,6,5,39,5,11,1,14,3,1,18
Financial Services,7,1,4,324,0,37,11,3,0,0,0,14,2,0,2,4,1,1,1,0,0
Human Resources,0,0,0,2,129,15,1,1,1,0,1,32,5,1,1,3,0,0,0,0,1
Information Technology and Services,5,5,19,11,9,1287,1,3,4,7,8,52,21,8,34,14,3,3,1,8,2
Insurance,0,0,1,17,0,10,87,0,0,0,0,6,1,1,0,0,2,0,0,0,0
Legal Services,0,0,1,4,0,2,0,120,0,0,0,0,0,0,0,0,1,0,0,0,0
"Leisure, Travel & Tourism",0,1,2,1,0,8,0,0,100,0,0,1,4,0,0,0,1,4,0,0,0
Logistics and Supply Chain,4,2,4,1,0,9,1,0,0,102,5,4,2,6,0,1,0,0,1,0,5
Machinery,9,22,15,1,1,27,0,0,0,1,275,5,1,124,0,4,2,2,5,0,11
Management Consulting,1,20,8,9,19,130,4,7,0,2,3,404,32,2,8,9,2,1,1,3,2
Marketing and Advertising,2,10,8,2,1,39,0,0,1,2,1,18,400,4,22,4,1,3,0,1,3
Mechanical or Industrial Engineering,15,22,31,0,1,39,0,0,0,3,79,8,1,365,0,3,0,1,1,0,8
Media Production,1,0,8,3,1,74,0,1,3,1,0,5,62,2,71,3,2,0,0,3,1
Medical Practice,0,1,9,2,1,21,3,0,0,1,3,16,4,16,0,273,0,5,1,0,0
Real Estate,1,19,3,7,0,9,2,1,3,1,2,4,4,2,1,0,177,0,0,0,0
Recreational Facilities and Services,0,1,6,0,0,11,0,0,2,0,5,0,5,7,1,4,1,105,1,1,6
Renewables & Environment,1,3,5,0,0,6,0,0,0,0,11,3,1,12,1,0,0,0,60,0,0
Telecommunications,0,4,14,1,1,40,0,0,0,1,3,3,8,2,1,1,0,0,1,54,3
Wholesale,5,6,41,0,1,4,0,0,0,2,15,8,5,12,1,5,1,6,0,1,119
