,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,207,2,18,3,2,27,0,0,0,2,15,9,6,21,1,1,0,1,0,0,2
Construction,1,242,17,2,2,23,0,0,2,2,31,18,7,18,0,3,13,1,1,0,3
Consumer Goods,17,16,252,4,0,55,1,1,0,1,38,10,1,60,5,7,2,13,4,3,16
Financial Services,6,1,5,308,1,36,13,3,1,1,1,20,3,1,1,4,5,1,0,1,0
Human Resources,2,0,0,2,111,28,0,0,0,0,2,32,5,4,1,5,0,1,0,0,0
Information Technology and Services,8,6,18,17,6,1254,0,0,4,10,11,62,33,16,29,18,2,3,1,6,1
Insurance,2,0,0,16,0,11,80,0,0,0,1,6,2,1,0,2,4,0,0,0,0
Legal Services,0,1,2,7,0,2,0,105,0,0,0,6,0,0,1,1,3,0,0,0,0
"Leisure, Travel & Tourism",0,0,1,1,0,11,0,0,99,0,0,2,0,1,1,0,1,5,0,0,0
Logistics and Supply Chain,5,5,5,0,0,15,0,0,0,95,2,4,3,8,0,1,0,0,1,1,2
Machinery,8,26,23,2,0,30,0,0,1,4,248,10,3,132,1,3,2,1,4,1,6
Management Consulting,5,13,7,12,19,155,2,6,1,3,4,373,30,7,4,14,4,2,2,3,1
Marketing and Advertising,4,10,17,3,1,55,0,1,2,2,3,22,369,3,18,4,3,1,0,0,4
Mechanical or Industrial Engineering,16,11,35,2,1,52,0,0,0,3,100,10,3,324,0,4,0,2,2,0,12
Media Production,0,1,12,5,2,89,0,1,3,0,0,4,51,1,68,2,0,0,0,1,1
Medical Practice,0,3,11,1,0,29,2,0,1,0,11,14,4,11,0,263,1,4,1,0,0
Real Estate,0,17,0,7,1,14,3,1,4,2,3,6,4,3,0,3,167,0,0,0,1
Recreational Facilities and Services,0,2,18,0,1,11,0,0,1,0,9,1,8,3,0,4,0,91,3,0,4
Renewables & Environment,1,8,5,0,0,11,0,0,0,1,17,2,1,10,1,2,0,0,44,0,0
Telecommunications,1,4,13,2,1,48,0,0,0,0,4,10,5,4,1,1,0,1,1,39,2
Wholesale,5,10,38,1,0,14,0,0,0,1,27,3,7,15,2,7,0,9,0,0,93
