,precision,recall,f1-score,support
Automotive,0.7117437722419929,0.6309148264984227,0.6688963210702341,317.0
Construction,0.6207865168539326,0.572538860103627,0.5956873315363881,386.0
Consumer Goods,0.51340206185567,0.49209486166007904,0.5025227043390514,506.0
Financial Services,0.783375314861461,0.7548543689320388,0.76885043263288,412.0
Human Resources,0.6946107784431138,0.6010362694300518,0.6444444444444445,193.0
Information Technology and Services,0.555857078245138,0.8166112956810632,0.6614639397201292,1505.0
Insurance,0.7714285714285715,0.648,0.7043478260869566,125.0
Legal Services,0.85,0.796875,0.8225806451612903,128.0
"Leisure, Travel & Tourism",0.808695652173913,0.7622950819672131,0.7848101265822783,122.0
Logistics and Supply Chain,0.8198198198198198,0.6190476190476191,0.7054263565891472,147.0
Machinery,0.4714587737843552,0.4415841584158416,0.45603271983640087,505.0
Management Consulting,0.6093489148580968,0.5472263868065967,0.5766192733017378,667.0
Marketing and Advertising,0.6424474187380497,0.6436781609195402,0.6430622009569378,522.0
Mechanical or Industrial Engineering,0.5212418300653595,0.5528596187175043,0.5365853658536586,577.0
Media Production,0.5083333333333333,0.25311203319502074,0.3379501385041551,241.0
Medical Practice,0.765079365079365,0.6769662921348315,0.7183308494783904,356.0
Real Estate,0.8429319371727748,0.6822033898305084,0.7540983606557378,236.0
Recreational Facilities and Services,0.6694214876033058,0.5192307692307693,0.5848375451263538,156.0
Renewables & Environment,0.7213114754098361,0.42718446601941745,0.5365853658536586,103.0
Telecommunications,0.6461538461538462,0.30656934306569344,0.4158415841584159,137.0
Wholesale,0.5793103448275863,0.3620689655172414,0.44562334217506633,232.0
accuracy,0.6140235045556582,0.6140235045556582,0.6140235045556582,0.6140235045556582
macro avg,0.6717503949023582,0.5765215127225277,0.612599851145872,7573.0
weighted avg,0.6231214991106785,0.6140235045556582,0.6084595633176533,7573.0
