,precision,recall,f1-score,support
Automotive,0.69140625,0.5583596214511041,0.6178010471204188,317.0
Construction,0.5791044776119403,0.5025906735751295,0.5381414701803051,386.0
Consumer Goods,0.46265060240963857,0.3794466403162055,0.41693811074918563,506.0
Financial Services,0.7407407407407407,0.6796116504854369,0.7088607594936709,412.0
Human Resources,0.7071428571428572,0.5129533678756477,0.5945945945945946,193.0
Information Technology and Services,0.4855015673981191,0.8232558139534883,0.6107961547941828,1505.0
Insurance,0.8205128205128205,0.512,0.6305418719211823,125.0
Legal Services,0.8598130841121495,0.71875,0.7829787234042553,128.0
"Leisure, Travel & Tourism",0.7758620689655172,0.7377049180327869,0.7563025210084033,122.0
Logistics and Supply Chain,0.7027027027027027,0.5306122448979592,0.6046511627906977,147.0
Machinery,0.44798301486199577,0.4178217821782178,0.4323770491803279,505.0
Management Consulting,0.5535420098846787,0.5037481259370314,0.5274725274725275,667.0
Marketing and Advertising,0.6205533596837944,0.6015325670498084,0.6108949416342412,522.0
Mechanical or Industrial Engineering,0.46324786324786327,0.4696707105719237,0.4664371772805508,577.0
Media Production,0.4666666666666667,0.2033195020746888,0.28323699421965315,241.0
Medical Practice,0.7446808510638298,0.5898876404494382,0.6583072100313481,356.0
Real Estate,0.8370786516853933,0.6313559322033898,0.7198067632850242,236.0
Recreational Facilities and Services,0.6153846153846154,0.41025641025641024,0.4923076923076924,156.0
Renewables & Environment,0.6086956521739131,0.4077669902912621,0.4883720930232558,103.0
Telecommunications,0.6181818181818182,0.24817518248175183,0.3541666666666667,137.0
Wholesale,0.4634146341463415,0.24568965517241378,0.3211267605633803,232.0
accuracy,0.5601478938333554,0.5601478938333554,0.5601478938333554,0.5601478938333554
macro avg,0.6316603004084473,0.5087861632978141,0.5531482043676936,7573.0
weighted avg,0.5773691745403701,0.5601478938333554,0.5521716502761641,7573.0
