,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,200,3,13,4,2,35,0,0,0,1,22,7,3,19,1,1,1,1,0,0,4
Construction,3,221,19,2,2,61,0,0,2,1,24,10,9,17,2,1,6,0,1,0,5
Consumer Goods,11,21,249,4,2,82,2,1,1,1,29,10,4,46,1,9,4,8,4,4,13
Financial Services,8,1,2,311,1,51,8,5,1,0,1,11,3,1,1,2,2,1,1,1,0
Human Resources,1,3,1,3,116,30,0,1,1,0,4,26,4,1,0,2,0,0,0,0,0
Information Technology and Services,8,3,29,16,10,1229,3,5,4,5,13,68,37,11,31,9,3,2,1,8,10
Insurance,3,2,1,13,0,19,81,0,0,0,0,2,0,1,0,1,1,1,0,0,0
Legal Services,0,0,2,3,1,11,0,102,0,0,1,4,1,1,0,0,2,0,0,0,0
"Leisure, Travel & Tourism",0,1,3,1,0,10,0,0,93,0,0,2,4,0,0,1,1,6,0,0,0
Logistics and Supply Chain,3,3,6,2,0,22,0,0,0,91,8,2,1,6,0,0,0,0,1,1,1
Machinery,12,22,22,4,0,68,1,0,0,2,223,12,2,113,0,6,3,2,2,1,10
Management Consulting,3,19,6,13,20,158,6,5,0,1,4,365,27,10,7,10,2,1,5,3,2
Marketing and Advertising,6,9,11,3,2,86,0,1,2,2,1,23,336,7,16,7,3,4,1,2,0
Mechanical or Industrial Engineering,14,15,32,2,1,69,0,0,1,3,86,12,7,319,0,5,0,2,0,0,9
Media Production,1,0,8,3,6,88,0,0,3,1,1,7,50,2,61,4,1,2,0,2,1
Medical Practice,0,2,13,1,1,48,2,0,1,1,9,15,4,12,0,241,0,5,0,1,0
Real Estate,1,11,1,9,0,24,1,0,3,2,3,7,4,4,0,3,161,0,0,0,2
Recreational Facilities and Services,1,1,15,0,1,25,0,0,3,0,4,4,7,6,0,7,0,81,0,0,1
Renewables & Environment,1,5,8,1,0,7,0,0,0,0,16,3,3,13,0,0,0,0,44,0,2
Telecommunications,0,3,12,1,2,55,1,0,0,0,6,3,5,3,0,2,0,0,1,42,1
Wholesale,5,11,32,1,0,33,0,0,0,0,18,6,12,20,0,4,1,5,0,0,84
