,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,177,2,10,8,1,49,0,0,1,1,10,14,7,26,2,1,0,0,1,1,6
Construction,2,194,14,1,1,87,0,0,2,2,28,12,9,15,0,4,8,0,3,0,4
Consumer Goods,14,14,192,8,0,117,1,1,1,1,30,16,6,64,2,6,2,11,4,5,11
Financial Services,7,0,4,280,0,69,10,3,2,1,4,16,4,2,0,4,2,1,1,1,1
Human Resources,3,2,1,4,99,34,0,1,3,1,3,30,7,2,0,3,0,0,0,0,0
Information Technology and Services,8,10,22,17,8,1239,1,3,3,5,11,70,31,23,23,16,1,1,1,6,6
Insurance,1,1,2,15,0,30,64,0,0,1,1,3,2,0,1,2,2,0,0,0,0
Legal Services,0,0,3,6,0,14,0,92,0,0,1,8,0,1,0,1,2,0,0,0,0
"Leisure, Travel & Tourism",1,1,4,2,1,10,0,0,90,0,2,2,2,2,0,0,1,4,0,0,0
Logistics and Supply Chain,5,4,6,1,2,32,0,0,0,78,3,8,0,4,1,0,0,0,1,0,2
Machinery,8,20,24,3,1,84,0,0,0,4,211,9,5,110,2,2,4,1,6,1,10
Management Consulting,4,7,9,12,20,192,1,5,1,4,16,336,29,9,3,10,3,1,3,0,2
Marketing and Advertising,4,10,9,5,0,118,1,0,2,2,2,20,314,2,15,7,2,5,1,1,2
Mechanical or Industrial Engineering,15,23,30,2,1,103,0,0,0,3,90,13,6,271,0,7,0,2,3,1,7
Media Production,1,0,10,5,2,103,0,0,3,1,0,11,52,2,49,1,0,1,0,0,0
Medical Practice,0,2,10,1,1,67,0,1,0,1,15,14,5,16,2,210,2,5,0,2,2
Real Estate,0,21,1,6,0,39,0,1,4,1,1,5,3,1,1,1,149,0,0,1,1
Recreational Facilities and Services,0,3,15,0,0,37,0,0,3,0,5,3,7,3,0,4,0,64,1,1,10
Renewables & Environment,2,6,3,1,0,16,0,0,0,1,16,0,3,11,1,0,0,0,42,1,0
Telecommunications,0,2,9,1,1,65,0,0,0,0,5,7,5,4,1,0,0,0,1,34,2
Wholesale,4,13,37,0,2,47,0,0,1,4,17,10,9,17,2,3,0,8,1,0,57
