,precision,recall,f1-score,support
Automotive,0.79,0.7476340694006309,0.7682333873581848,317.0
Construction,0.6959798994974874,0.7176165803108808,0.7066326530612245,386.0
Consumer Goods,0.603082851637765,0.6185770750988142,0.6107317073170732,506.0
Financial Services,0.8163771712158809,0.7985436893203883,0.8073619631901842,412.0
Human Resources,0.7588235294117647,0.6683937823834197,0.7107438016528925,193.0
Information Technology and Services,0.7016967706622879,0.8518272425249169,0.7695078031212486,1505.0
Insurance,0.8198198198198198,0.728,0.7711864406779662,125.0
Legal Services,0.8814814814814815,0.9296875,0.9049429657794676,128.0
"Leisure, Travel & Tourism",0.8333333333333334,0.860655737704918,0.846774193548387,122.0
Logistics and Supply Chain,0.8174603174603174,0.7006802721088435,0.7545787545787547,147.0
Machinery,0.5681818181818182,0.5445544554455446,0.5561172901921132,505.0
Management Consulting,0.6845637583892618,0.6116941529235382,0.6460807600950118,667.0
Marketing and Advertising,0.7056737588652482,0.7624521072796935,0.7329650092081031,522.0
Mechanical or Industrial Engineering,0.5619047619047619,0.6135181975736569,0.5865782932891468,577.0
Media Production,0.5578231292517006,0.34024896265560167,0.422680412371134,241.0
Medical Practice,0.7977207977207977,0.7865168539325843,0.7920792079207921,356.0
Real Estate,0.8888888888888888,0.7796610169491526,0.8306997742663657,236.0
Recreational Facilities and Services,0.7019867549668874,0.6794871794871795,0.6905537459283388,156.0
Renewables & Environment,0.7368421052631579,0.5436893203883495,0.6256983240223464,103.0
Telecommunications,0.6428571428571429,0.39416058394160586,0.48868778280542985,137.0
Wholesale,0.6904761904761905,0.5,0.58,232.0
accuracy,0.6995906509969629,0.6995906509969629,0.6995906509969629,0.6995906509969629
macro avg,0.7264273467279043,0.6751237514014151,0.6953730604944841,7573.0
weighted avg,0.6996193722710133,0.6995906509969629,0.6953796727775504,7573.0
