,precision,recall,f1-score,support
Automotive,0.6936026936026936,0.6498422712933754,0.6710097719869706,317.0
Construction,0.6391752577319587,0.6424870466321243,0.6408268733850129,386.0
Consumer Goods,0.5230769230769231,0.5375494071146245,0.5302144249512671,506.0
Financial Services,0.7882653061224489,0.75,0.7686567164179103,412.0
Human Resources,0.773972602739726,0.5854922279792746,0.6666666666666666,193.0
Information Technology and Services,0.6355511420059583,0.8504983388704319,0.7274793975561239,1505.0
Insurance,0.8058252427184466,0.664,0.7280701754385964,125.0
Legal Services,0.8991596638655462,0.8359375,0.8663967611336032,128.0
"Leisure, Travel & Tourism",0.853448275862069,0.8114754098360656,0.8319327731092437,122.0
Logistics and Supply Chain,0.7419354838709677,0.6258503401360545,0.6789667896678967,147.0
Machinery,0.4911591355599214,0.49504950495049505,0.4930966469428008,505.0
Management Consulting,0.6227045075125208,0.5592203898050975,0.589257503949447,667.0
Marketing and Advertising,0.6753246753246753,0.6973180076628352,0.6861451460885958,522.0
Mechanical or Industrial Engineering,0.5031446540880503,0.5545927209705372,0.5276174773289365,577.0
Media Production,0.5153846153846153,0.27800829875518673,0.3611859838274933,241.0
Medical Practice,0.7696969696969697,0.7134831460674157,0.7405247813411079,356.0
Real Estate,0.8226600985221675,0.7076271186440678,0.7608200455580866,236.0
Recreational Facilities and Services,0.6589147286821705,0.5448717948717948,0.5964912280701754,156.0
Renewables & Environment,0.6857142857142857,0.46601941747572817,0.5549132947976878,103.0
Telecommunications,0.7358490566037735,0.2846715328467153,0.41052631578947374,137.0
Wholesale,0.5769230769230769,0.3879310344827586,0.46391752577319584,232.0
accuracy,0.6425458867027598,0.6425458867027598,0.6425458867027598,0.6425458867027598
macro avg,0.6862613521718555,0.6019964527806944,0.6330817285609662,7573.0
weighted avg,0.6467160264194243,0.6425458867027598,0.6365689199121523,7573.0
