,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,237,2,6,3,1,16,0,0,0,1,14,7,2,21,0,0,0,1,0,2,4
Construction,1,277,18,0,1,18,0,0,2,1,23,8,6,16,0,1,6,1,4,0,3
Consumer Goods,7,15,313,2,1,39,1,1,1,1,22,9,3,45,4,10,1,11,4,3,13
Financial Services,6,2,3,329,0,34,10,4,0,0,0,14,1,1,1,2,2,1,1,1,0
Human Resources,0,1,0,3,129,14,0,1,1,0,2,29,6,2,1,3,0,0,0,0,1
Information Technology and Services,6,2,19,17,5,1282,1,4,5,7,7,51,26,8,31,14,2,1,0,14,3
Insurance,1,0,1,15,0,9,91,0,0,0,0,3,1,1,0,1,2,0,0,0,0
Legal Services,0,0,1,4,0,2,0,119,0,0,0,1,0,0,0,0,1,0,0,0,0
"Leisure, Travel & Tourism",0,1,2,1,0,5,0,0,105,0,0,1,1,0,0,0,1,4,0,0,1
Logistics and Supply Chain,3,2,7,1,0,8,0,0,0,103,3,4,1,8,1,1,1,0,1,0,3
Machinery,10,21,14,0,0,24,0,0,1,2,275,7,1,123,0,6,4,3,4,2,8
Management Consulting,4,15,7,11,22,128,4,5,0,1,5,408,25,5,6,10,2,2,2,4,1
Marketing and Advertising,3,12,13,3,1,40,0,0,1,2,1,17,398,2,16,4,1,5,0,1,2
Mechanical or Industrial Engineering,16,20,32,1,3,37,0,0,0,4,85,8,3,354,1,4,0,1,1,0,7
Media Production,0,0,11,3,4,72,0,1,3,1,0,4,51,2,82,2,0,0,0,3,2
Medical Practice,0,0,7,1,0,25,3,0,0,1,6,12,5,10,0,280,0,5,1,0,0
Real Estate,1,12,2,8,0,9,1,0,3,1,1,3,6,3,1,1,184,0,0,0,0
Recreational Facilities and Services,0,0,11,0,1,10,0,0,4,0,3,2,8,3,0,5,0,106,1,0,2
Renewables & Environment,1,3,5,1,0,4,0,0,0,0,15,3,2,12,1,0,0,0,56,0,0
Telecommunications,0,4,17,0,1,41,0,0,0,0,3,3,7,2,1,0,0,1,1,54,2
Wholesale,4,9,30,0,1,10,0,0,0,1,19,2,11,12,1,7,0,9,0,0,116
