,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,206,1,12,3,3,26,0,0,0,2,11,8,7,28,1,2,0,1,0,1,5
Construction,2,248,19,5,0,24,0,0,2,3,19,15,9,14,0,1,14,2,4,0,5
Consumer Goods,13,11,272,4,0,57,0,0,0,0,36,10,3,64,1,3,1,11,5,1,14
Financial Services,7,1,5,309,0,41,14,3,1,1,1,19,1,1,0,4,3,1,0,0,0
Human Resources,2,0,0,1,113,25,0,1,0,0,2,31,10,4,0,4,0,0,0,0,0
Information Technology and Services,8,4,17,16,6,1280,0,2,3,8,8,53,31,16,21,14,2,5,1,7,3
Insurance,1,1,2,15,0,11,83,0,0,1,0,2,2,1,0,3,3,0,0,0,0
Legal Services,0,1,1,4,0,2,0,107,0,0,1,5,1,0,1,4,1,0,0,0,0
"Leisure, Travel & Tourism",0,2,1,2,0,6,0,0,99,1,0,1,2,1,1,0,1,5,0,0,0
Logistics and Supply Chain,5,3,6,2,0,17,0,0,0,92,4,3,1,9,1,1,0,0,1,0,2
Machinery,18,26,20,4,1,26,0,0,1,3,250,9,2,122,1,3,3,0,2,1,13
Management Consulting,5,19,7,11,17,152,3,5,0,2,10,373,27,4,8,13,5,0,4,1,1
Marketing and Advertising,7,11,15,3,2,61,0,0,2,2,2,19,364,3,20,3,2,1,0,1,4
Mechanical or Industrial Engineering,16,11,40,1,0,52,0,0,0,4,100,16,2,320,0,5,0,2,0,0,8
Media Production,0,1,10,4,1,91,0,1,3,1,0,7,48,0,67,2,0,1,0,1,3
Medical Practice,1,3,11,0,0,36,1,0,0,1,11,13,3,16,1,254,1,2,1,0,1
Real Estate,0,21,4,5,0,18,2,0,3,2,2,6,3,0,1,1,167,0,0,0,1
Recreational Facilities and Services,0,2,19,1,2,8,0,0,2,0,8,2,8,3,0,6,0,85,3,1,6
Renewables & Environment,1,8,6,0,0,11,0,0,0,0,16,1,0,10,1,1,0,0,48,0,0
Telecommunications,1,3,18,2,1,55,0,0,0,0,3,5,6,1,1,0,0,1,1,39,0
Wholesale,4,11,35,0,0,15,0,0,0,1,25,1,9,19,4,6,0,12,0,0,90
