,precision,recall,f1-score,support
Automotive,0.7224199288256228,0.6403785488958991,0.6789297658862876,317.0
Construction,0.6492146596858639,0.6424870466321243,0.6458333333333333,386.0
Consumer Goods,0.5019455252918288,0.5098814229249012,0.5058823529411764,506.0
Financial Services,0.7707808564231738,0.7427184466019418,0.7564894932014834,412.0
Human Resources,0.7515923566878981,0.6113989637305699,0.6742857142857143,193.0
Information Technology and Services,0.6389167502507522,0.8465116279069768,0.7282080594455559,1505.0
Insurance,0.8058252427184466,0.664,0.7280701754385964,125.0
Legal Services,0.9051724137931034,0.8203125,0.860655737704918,128.0
"Leisure, Travel & Tourism",0.8660714285714286,0.7950819672131147,0.829059829059829,122.0
Logistics and Supply Chain,0.811965811965812,0.6462585034013606,0.7196969696969697,147.0
Machinery,0.49224806201550386,0.502970297029703,0.4975514201762978,505.0
Management Consulting,0.6180904522613065,0.553223388305847,0.5838607594936708,667.0
Marketing and Advertising,0.7005758157389635,0.6992337164750958,0.6999041227229147,522.0
Mechanical or Industrial Engineering,0.502283105022831,0.5719237435008665,0.5348460291734197,577.0
Media Production,0.4857142857142857,0.2821576763485477,0.3569553805774278,241.0
Medical Practice,0.7774390243902439,0.7162921348314607,0.7456140350877193,356.0
Real Estate,0.835,0.7076271186440678,0.7660550458715596,236.0
Recreational Facilities and Services,0.6764705882352942,0.5897435897435898,0.6301369863013699,156.0
Renewables & Environment,0.6923076923076923,0.4368932038834951,0.5357142857142856,103.0
Telecommunications,0.6935483870967742,0.31386861313868614,0.43216080402010054,137.0
Wholesale,0.5617977528089888,0.43103448275862066,0.4878048780487805,232.0
accuracy,0.6437343192922224,0.6437343192922224,0.6437343192922224,0.6437343192922224
macro avg,0.6885419114193244,0.6059046186650889,0.6379864370562577,7573.0
weighted avg,0.648201815571779,0.6437343192922224,0.6389979556927037,7573.0
