,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,210,2,14,1,2,18,0,0,0,1,19,11,3,25,0,3,0,2,0,1,5
Construction,0,263,17,1,1,13,0,0,1,1,31,11,10,18,0,5,3,2,3,1,5
Consumer Goods,11,20,314,1,0,33,1,1,1,0,22,5,6,45,1,11,2,11,2,4,15
Financial Services,7,3,4,321,3,32,12,2,1,1,1,13,1,1,1,2,3,0,1,2,1
Human Resources,2,0,0,1,123,18,1,0,0,0,2,35,5,2,1,2,0,0,0,0,1
Information Technology and Services,5,5,20,17,6,1278,1,2,3,7,2,63,27,14,27,11,1,4,1,8,3
Insurance,1,1,0,14,0,9,88,0,0,0,0,6,1,1,0,3,1,0,0,0,0
Legal Services,0,1,0,3,0,2,0,116,0,0,0,4,0,0,0,1,1,0,0,0,0
"Leisure, Travel & Tourism",0,1,0,0,0,6,0,0,102,0,0,2,2,1,0,1,1,5,0,0,1
Logistics and Supply Chain,3,1,7,0,1,10,0,0,0,104,4,5,0,5,2,1,0,1,0,1,2
Machinery,12,18,14,1,1,26,0,0,1,2,267,12,3,124,0,2,2,3,2,1,14
Management Consulting,4,13,8,11,19,135,2,6,0,1,8,397,29,6,12,7,2,1,3,1,2
Marketing and Advertising,2,8,8,1,0,43,0,0,2,2,3,12,400,4,25,4,1,1,0,3,3
Mechanical or Industrial Engineering,11,15,39,1,3,39,0,0,0,1,84,6,3,359,1,3,1,4,0,0,7
Media Production,0,1,10,4,3,72,1,1,3,1,1,8,44,1,82,1,1,1,0,4,2
Medical Practice,1,2,14,0,2,27,1,0,0,1,6,15,1,13,0,264,1,6,1,0,1
Real Estate,0,17,6,8,0,11,1,0,1,1,2,4,3,1,1,1,178,0,1,0,0
Recreational Facilities and Services,1,3,12,0,2,5,0,0,1,0,11,1,8,3,1,6,0,97,1,0,4
Renewables & Environment,2,4,5,3,0,6,0,0,0,0,19,4,0,13,0,1,0,0,45,0,1
Telecommunications,0,3,14,2,1,47,0,0,0,0,3,3,4,3,2,0,0,1,0,52,2
Wholesale,3,8,29,3,1,8,0,0,0,0,23,5,5,16,1,9,1,9,0,0,111
