,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,203,1,20,4,1,24,0,0,0,2,12,9,8,28,0,1,0,1,0,1,2
Construction,1,248,17,2,0,29,0,0,2,1,33,14,6,14,1,4,10,0,1,0,3
Consumer Goods,12,14,258,6,0,57,0,1,0,0,39,6,4,65,2,7,1,12,5,2,15
Financial Services,6,1,10,306,1,39,10,3,1,1,2,21,1,2,0,3,3,1,0,0,1
Human Resources,1,1,1,2,118,23,1,1,0,0,2,28,8,3,0,4,0,0,0,0,0
Information Technology and Services,10,5,17,17,7,1274,1,0,2,5,6,61,24,15,30,11,4,4,1,8,3
Insurance,2,0,1,16,0,10,83,0,0,0,1,3,2,1,0,3,3,0,0,0,0
Legal Services,0,1,2,5,0,3,0,105,0,0,1,5,2,1,0,2,1,0,0,0,0
"Leisure, Travel & Tourism",0,1,2,1,0,10,0,0,97,0,0,2,3,1,1,0,1,3,0,0,0
Logistics and Supply Chain,4,2,5,2,0,17,0,0,0,95,3,4,2,7,0,1,0,0,1,0,4
Machinery,13,21,17,1,0,29,0,0,1,2,254,9,2,126,0,5,3,2,3,1,16
Management Consulting,3,18,9,11,21,161,2,5,0,3,6,369,26,3,7,11,5,2,2,2,1
Marketing and Advertising,5,9,19,3,2,49,0,0,1,1,2,18,365,2,30,5,1,2,0,1,7
Mechanical or Industrial Engineering,14,12,40,2,1,54,0,0,0,2,91,10,1,330,0,1,0,4,3,1,11
Media Production,0,1,11,5,1,87,0,1,4,0,1,7,46,1,68,3,0,1,0,1,3
Medical Practice,0,3,10,1,0,34,2,0,0,2,14,15,0,15,0,255,1,2,1,0,1
Real Estate,0,17,3,6,2,14,4,0,3,1,4,8,2,1,0,2,167,0,0,1,1
Recreational Facilities and Services,0,1,13,1,2,8,0,0,1,0,8,2,8,4,0,6,0,92,2,0,8
Renewables & Environment,1,7,3,0,0,12,0,0,0,1,20,1,0,13,0,0,0,0,45,0,0
Telecommunications,0,5,15,4,1,50,0,0,0,0,2,5,4,5,0,0,0,0,1,43,2
Wholesale,6,14,41,2,0,10,0,0,0,1,15,0,7,20,1,4,0,10,0,1,100
