,precision,recall,f1-score,support
Automotive,0.6374045801526718,0.526813880126183,0.5768566493955095,317.0
Construction,0.5549597855227882,0.5362694300518135,0.5454545454545455,386.0
Consumer Goods,0.4737827715355805,0.5,0.4865384615384616,506.0
Financial Services,0.7760416666666666,0.7233009708737864,0.7487437185929648,412.0
Human Resources,0.7012987012987013,0.5595854922279793,0.622478386167147,193.0
Information Technology and Services,0.6092184368737475,0.8079734219269104,0.6946586689517281,1505.0
Insurance,0.7111111111111111,0.512,0.5953488372093023,125.0
Legal Services,0.8306451612903226,0.8046875,0.8174603174603176,128.0
"Leisure, Travel & Tourism",0.8425925925925926,0.7459016393442623,0.7913043478260869,122.0
Logistics and Supply Chain,0.7711864406779662,0.6190476190476191,0.6867924528301886,147.0
Machinery,0.44064386317907445,0.43366336633663366,0.437125748502994,505.0
Management Consulting,0.5355029585798816,0.5427286356821589,0.5390915860014892,667.0
Marketing and Advertising,0.6880907372400756,0.6973180076628352,0.6926736441484301,522.0
Mechanical or Industrial Engineering,0.45156482861400893,0.5251299826689775,0.4855769230769231,577.0
Media Production,0.4658385093167702,0.3112033195020747,0.3731343283582089,241.0
Medical Practice,0.6912751677852349,0.5786516853932584,0.6299694189602446,356.0
Real Estate,0.8225806451612904,0.6483050847457628,0.7251184834123223,236.0
Recreational Facilities and Services,0.603448275862069,0.44871794871794873,0.5147058823529411,156.0
Renewables & Environment,0.6491228070175439,0.3592233009708738,0.4625,103.0
Telecommunications,0.5405405405405406,0.291970802919708,0.3791469194312796,137.0
Wholesale,0.4727272727272727,0.33620689655172414,0.39294710327455923,232.0
accuracy,0.5948765350587614,0.5948765350587614,0.5948765350587614,0.5948765350587614
macro avg,0.6318846120831386,0.5480332849881195,0.5808393534736022,7573.0
weighted avg,0.5989684242818365,0.5948765350587614,0.5900789247653907,7573.0
