,precision,recall,f1-score,support
Automotive,0.7052631578947368,0.6340694006309149,0.6677740863787375,317.0
Construction,0.6282722513089005,0.6217616580310881,0.625,386.0
Consumer Goods,0.5372233400402414,0.5276679841897233,0.5324027916251246,506.0
Financial Services,0.7928388746803069,0.7524271844660194,0.772104607721046,412.0
Human Resources,0.7612903225806451,0.6113989637305699,0.6781609195402298,193.0
Information Technology and Services,0.6473259334006054,0.8524916943521594,0.7358761112704331,1505.0
Insurance,0.7706422018348624,0.672,0.7179487179487181,125.0
Legal Services,0.9,0.84375,0.870967741935484,128.0
"Leisure, Travel & Tourism",0.8584070796460177,0.7950819672131147,0.825531914893617,122.0
Logistics and Supply Chain,0.8017241379310345,0.6326530612244898,0.7072243346007604,147.0
Machinery,0.49615384615384617,0.5108910891089109,0.5034146341463415,505.0
Management Consulting,0.6176961602671118,0.5547226386806596,0.584518167456556,667.0
Marketing and Advertising,0.6776556776556777,0.7088122605363985,0.6928838951310862,522.0
Mechanical or Industrial Engineering,0.5203125,0.5771230502599654,0.5472473294987674,577.0
Media Production,0.47368421052631576,0.26141078838174275,0.33689839572192515,241.0
Medical Practice,0.7657657657657657,0.7162921348314607,0.7402031930333818,356.0
Real Estate,0.8106796116504854,0.7076271186440678,0.755656108597285,236.0
Recreational Facilities and Services,0.6293706293706294,0.5769230769230769,0.6020066889632106,156.0
Renewables & Environment,0.6716417910447762,0.4368932038834951,0.5294117647058824,103.0
Telecommunications,0.7164179104477612,0.35036496350364965,0.4705882352941177,137.0
Wholesale,0.5384615384615384,0.3922413793103448,0.45386533665835405,232.0
accuracy,0.6458470883401558,0.6458470883401558,0.6458470883401558,0.6458470883401558
macro avg,0.6819441400314885,0.6065049341858024,0.6356992845295741,7573.0
weighted avg,0.6476788382661381,0.6458470883401558,0.6401049566077964,7573.0
