,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,201,1,18,2,2,26,0,0,0,3,14,7,8,30,0,0,0,0,0,1,4
Construction,1,240,16,1,2,25,0,0,2,2,32,16,6,18,0,1,15,3,2,0,4
Consumer Goods,12,13,267,5,0,50,0,1,0,0,34,8,4,63,4,5,2,11,5,4,18
Financial Services,7,1,8,310,1,33,12,4,1,1,1,22,1,1,0,3,3,2,0,1,0
Human Resources,2,1,0,1,118,27,1,0,0,0,2,27,8,2,0,3,0,1,0,0,0
Information Technology and Services,9,4,15,16,5,1283,2,1,4,4,7,50,29,15,26,15,3,4,1,7,5
Insurance,3,0,0,14,0,11,84,0,0,0,0,4,1,1,0,4,3,0,0,0,0
Legal Services,0,1,2,4,0,4,0,108,0,0,0,5,1,0,0,2,1,0,0,0,0
"Leisure, Travel & Tourism",0,1,2,1,0,7,0,0,97,0,0,2,2,1,1,0,2,6,0,0,0
Logistics and Supply Chain,2,3,5,3,1,12,0,0,0,93,4,8,4,8,1,0,0,0,1,0,2
Machinery,12,26,22,3,1,25,0,0,1,2,258,7,5,108,1,5,3,2,5,1,18
Management Consulting,5,14,5,13,16,161,2,5,1,3,5,370,32,4,7,13,5,2,2,2,0
Marketing and Advertising,5,11,11,2,2,57,0,0,2,3,2,20,370,2,21,3,1,4,0,1,5
Mechanical or Industrial Engineering,17,16,40,2,1,44,0,0,0,2,90,9,1,333,0,7,0,3,1,1,10
Media Production,1,1,7,6,3,90,0,1,3,0,0,7,50,0,63,3,0,1,0,1,4
Medical Practice,1,2,7,0,0,33,3,0,0,0,14,17,3,16,1,255,1,2,1,0,0
Real Estate,0,20,0,5,1,13,5,0,2,2,4,8,3,1,2,1,167,1,0,0,1
Recreational Facilities and Services,0,2,15,0,1,10,0,0,0,0,6,3,6,5,1,7,0,90,3,0,7
Renewables & Environment,1,11,5,1,0,10,0,0,0,0,15,2,0,12,0,1,0,0,45,0,0
Telecommunications,1,3,11,1,1,46,0,0,0,0,4,6,5,5,3,1,0,1,1,48,0
Wholesale,5,11,41,1,0,15,0,0,0,1,28,1,7,15,2,4,0,10,0,0,91
