,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,123,2,13,3,1,138,0,0,0,1,7,6,1,18,0,0,0,0,0,0,4
Construction,1,121,9,2,1,183,0,0,3,1,17,12,3,20,2,1,7,1,1,0,1
Consumer Goods,11,12,154,2,0,208,0,0,1,1,17,3,4,59,4,5,0,5,3,1,16
Financial Services,2,0,4,226,2,136,7,2,0,0,5,13,3,3,0,2,5,0,2,0,0
Human Resources,0,1,0,1,83,70,0,0,0,0,1,23,7,4,0,2,0,0,0,1,0
Information Technology and Services,5,5,13,14,3,1288,1,3,4,4,8,62,27,22,23,4,3,3,2,7,4
Insurance,2,0,1,6,0,60,45,0,0,0,2,3,3,0,0,2,1,0,0,0,0
Legal Services,0,0,0,2,0,48,0,71,0,0,2,5,0,0,0,0,0,0,0,0,0
"Leisure, Travel & Tourism",1,0,0,0,0,32,0,0,79,0,0,3,0,0,0,1,3,2,0,0,1
Logistics and Supply Chain,3,1,2,2,0,65,0,0,1,58,0,3,0,4,1,1,1,1,0,0,4
Machinery,4,8,19,1,0,232,0,0,0,4,123,11,4,76,2,4,0,0,6,2,9
Management Consulting,2,3,6,9,10,333,2,4,0,4,3,246,17,9,8,6,3,1,1,0,0
Marketing and Advertising,1,4,2,1,2,170,0,0,4,1,3,10,294,7,17,2,2,0,2,0,0
Mechanical or Industrial Engineering,11,18,13,2,0,257,0,0,0,2,45,3,3,202,0,8,0,2,2,1,8
Media Production,0,1,4,2,1,118,1,0,2,2,1,7,48,2,47,2,0,2,0,0,1
Medical Practice,0,1,4,1,4,170,1,0,0,1,9,9,3,13,1,133,0,4,0,1,1
Real Estate,0,7,1,7,0,93,2,0,1,0,2,10,1,0,1,0,111,0,0,0,0
Recreational Facilities and Services,2,1,10,0,0,87,0,1,0,0,8,5,1,9,0,4,0,23,1,0,4
Renewables & Environment,0,5,3,3,0,37,0,0,0,0,10,3,1,11,0,0,1,0,29,0,0
Telecommunications,0,1,2,3,0,79,0,1,0,0,2,6,6,8,0,1,1,0,0,26,1
Wholesale,3,6,15,1,0,106,1,0,0,2,13,3,8,12,1,4,0,4,0,0,53
