,precision,recall,f1-score,support
Automotive,0.7424749163879598,0.7003154574132492,0.7207792207792207,317.0
Construction,0.6513994910941476,0.6632124352331606,0.6572528883183568,386.0
Consumer Goods,0.5553398058252427,0.5652173913043478,0.5602350636630754,506.0
Financial Services,0.7841191066997518,0.7669902912621359,0.7754601226993865,412.0
Human Resources,0.7267441860465116,0.6476683937823834,0.6849315068493149,193.0
Information Technology and Services,0.7056179775280899,0.8345514950166113,0.7646879756468796,1505.0
Insurance,0.7894736842105263,0.72,0.7531380753138075,125.0
Legal Services,0.8549618320610687,0.875,0.8648648648648648,128.0
"Leisure, Travel & Tourism",0.8225806451612904,0.8360655737704918,0.829268292682927,122.0
Logistics and Supply Chain,0.8225806451612904,0.6938775510204082,0.7527675276752769,147.0
Machinery,0.499009900990099,0.499009900990099,0.499009900990099,505.0
Management Consulting,0.6528925619834711,0.5922038980509745,0.6210691823899371,667.0
Marketing and Advertising,0.7034990791896869,0.7318007662835249,0.7173708920187793,522.0
Mechanical or Industrial Engineering,0.5405844155844156,0.5771230502599654,0.5582564962279967,577.0
Media Production,0.47674418604651164,0.34024896265560167,0.39709443099273606,241.0
Medical Practice,0.7416666666666667,0.75,0.7458100558659218,356.0
Real Estate,0.8349056603773585,0.75,0.7901785714285713,236.0
Recreational Facilities and Services,0.6375838926174496,0.6089743589743589,0.6229508196721311,156.0
Renewables & Environment,0.6923076923076923,0.5242718446601942,0.5966850828729282,103.0
Telecommunications,0.6063829787234043,0.41605839416058393,0.49350649350649356,137.0
Wholesale,0.6086956521739131,0.4827586206896552,0.5384615384615384,232.0
accuracy,0.6698798362603988,0.6698798362603988,0.6698798362603988,0.6698798362603988
macro avg,0.6880745227065023,0.646445161215607,0.6639894763295354,7573.0
weighted avg,0.668179861530138,0.6698798362603988,0.6663901006696001,7573.0
