,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,222,1,11,4,3,18,0,0,0,0,14,9,3,21,0,3,0,3,0,1,4
Construction,5,256,12,3,2,17,0,3,2,1,24,11,7,20,1,4,7,3,4,0,4
Consumer Goods,12,11,286,3,0,40,0,1,3,1,30,12,4,46,6,11,0,13,4,4,19
Financial Services,5,2,4,316,0,31,11,5,1,0,1,13,2,1,6,4,4,1,1,2,2
Human Resources,2,0,2,3,125,12,1,0,1,0,3,33,6,0,1,2,0,0,0,1,1
Information Technology and Services,5,6,19,15,8,1256,1,2,4,7,18,61,24,8,37,12,4,2,2,12,2
Insurance,0,1,1,13,0,6,90,0,0,0,0,4,3,1,0,1,4,0,0,1,0
Legal Services,0,0,3,5,0,2,0,112,0,0,1,0,2,0,0,1,1,0,0,1,0
"Leisure, Travel & Tourism",0,1,2,1,0,6,0,0,102,0,0,0,3,0,0,1,1,5,0,0,0
Logistics and Supply Chain,3,4,4,2,0,9,0,0,0,102,3,5,0,8,2,1,1,0,1,0,2
Machinery,12,29,20,3,0,30,0,0,0,2,252,5,3,119,0,11,3,0,6,4,6
Management Consulting,1,15,5,14,23,128,5,6,2,1,8,395,30,4,5,12,2,1,2,5,3
Marketing and Advertising,5,11,14,2,3,35,0,0,2,3,2,20,382,4,23,4,2,3,0,0,7
Mechanical or Industrial Engineering,17,24,40,2,3,32,1,0,0,3,90,4,0,333,3,6,2,2,1,1,13
Media Production,0,1,7,4,1,67,0,1,2,1,2,8,50,3,82,3,1,3,0,4,1
Medical Practice,1,1,12,0,1,24,3,0,1,0,8,11,4,14,1,267,1,6,1,0,0
Real Estate,0,14,5,11,0,11,2,1,1,1,1,5,1,1,1,2,177,1,0,0,1
Recreational Facilities and Services,0,2,15,0,2,7,0,0,2,0,5,1,7,7,1,7,0,95,1,0,4
Renewables & Environment,2,3,7,1,0,3,0,0,0,0,17,4,0,11,1,0,0,0,54,0,0
Telecommunications,0,4,13,0,1,40,0,0,0,1,3,2,6,2,2,0,2,0,1,57,3
Wholesale,7,7,33,1,0,6,0,0,1,1,23,2,6,13,0,8,0,11,0,1,112
