feature,value
gebrauchtwagen,0.01406582910567522
maschinenpark,0.008883518166840076
banking,0.007818401791155338
finanzieren,0.007622233126312494
patients,0.00755333574488759
kandidaten,0.006099127233028412
funds,0.006087323185056448
patienten,0.005880686920136213
bauvorhaben,0.00549777876585722
versandkosten,0.005052452906966209
sip,0.004771501291543245
machines,0.004364305641502142
software,0.004253291990607977
cloud,0.0040023112669587135
arzneimittel,0.0038563846610486507
led,0.00360720232129097
personalvermittlung,0.0034124774392694235
agentur,0.003398824017494917
uc,0.003317106980830431
bewerber,0.0032075128983706236
rezepte,0.003207342466339469
architekten,0.003172774100676179
anleger,0.0031054329592734575
cnc,0.003097986103966832
arbeitsschutz,0.002972895745187998
steuerberatung,0.0029359860345721245
vehicle,0.0028870056848973036
gas,0.002855779603123665
immobilien,0.0028545919340103865
bank,0.002682571765035391
fonds,0.0025937617756426334
kanzlei,0.0025521167553961277
unternehmensberatung,0.0025134242605417967
versicherung,0.0024296545889228582
werbemittel,0.002394447335973382
investments,0.0023740450851619244
methoden,0.002317656297236681
maschinen,0.002306618494912982
erdgas,0.002288814401254058
geschmack,0.002271851524710655
fahrzeug,0.002261354122310877
recruitment,0.0022232821211218834
hotel,0.0021794342901557684
hörgeräte,0.0021536152344197035
accessoires,0.0021243069786578417
returns,0.002045036992058158
erp,0.002017806749790907
werbeagentur,0.001980127766728401
mobilfunk,0.001965263392776251
tiefbau,0.0019402505131438375
elektronik,0.0019253273494541645
sortiment,0.0019187460420653224
broadband,0.0019145390251651406
magento,0.0018850240157917142
wohnungen,0.0018784856656566262
motivation,0.00187426689080894
coaching,0.0018638235051184893
estate,0.0018631521379575133
marketing,0.001730164629407227
seo,0.0016971169970929623
therapie,0.001691248151473701
bauen,0.0016837121220305562
medical,0.0016488104593008757
taste,0.0016207651933655143
cars,0.0015770437894389033
sozialen,0.0015484357718378305
medizinische,0.001508640474639833
dc,0.001507708104327321
fenster,0.0014854955952614546
voice,0.0014827755512669683
internetagentur,0.0014502763515338302
electronic,0.0014451489550992846
dating,0.0014369012787938118
solar,0.0014106730232015252
architects,0.0013977582566440105
elektrotechnik,0.001380261150188744
snacks,0.0013724763412028551
zutaten,0.0013698376715183258
accessories,0.001352860825136304
spedition,0.0013512143632397056
maschinenbau,0.0013489732518792152
demo,0.0013417674927040935
transport,0.001338736154139042
institutionelle,0.0013208092423155904
fleisch,0.001312002306804061
ersatzteile,0.0013047860702499747
