,precision,recall,f1-score,support
Automotive,0.5817307692307693,0.38170347003154576,0.460952380952381,317.0
Construction,0.6008064516129032,0.3860103626943005,0.4700315457413249,386.0
Consumer Goods,0.4714285714285714,0.391304347826087,0.42764578833693306,506.0
Financial Services,0.740625,0.5752427184466019,0.6475409836065573,412.0
Human Resources,0.6363636363636364,0.47150259067357514,0.5416666666666666,193.0
Information Technology and Services,0.3884001303356142,0.7920265780730897,0.5212068211630958,1505.0
Insurance,0.6533333333333333,0.392,0.49,125.0
Legal Services,0.797752808988764,0.5546875,0.6543778801843319,128.0
"Leisure, Travel & Tourism",0.8269230769230769,0.7049180327868853,0.7610619469026548,122.0
Logistics and Supply Chain,0.7045454545454546,0.4217687074829932,0.5276595744680851,147.0
Machinery,0.4025641025641026,0.3108910891089109,0.35083798882681566,505.0
Management Consulting,0.500998003992016,0.37631184407796103,0.4297945205479452,667.0
Marketing and Advertising,0.6688888888888889,0.5766283524904214,0.6193415637860082,522.0
Mechanical or Industrial Engineering,0.4412878787878788,0.4038128249566724,0.4217194570135746,577.0
Media Production,0.4226190476190476,0.2946058091286307,0.3471882640586797,241.0
Medical Practice,0.5932835820895522,0.44662921348314605,0.5096153846153846,356.0
Real Estate,0.7947019867549668,0.5084745762711864,0.6201550387596899,236.0
Recreational Facilities and Services,0.5128205128205128,0.2564102564102564,0.34188034188034183,156.0
Renewables & Environment,0.5925925925925926,0.3106796116504854,0.4076433121019108,103.0
Telecommunications,0.527027027027027,0.2846715328467153,0.3696682464454976,137.0
Wholesale,0.41496598639455784,0.2629310344827586,0.32189973614775724,232.0
accuracy,0.4912188036445266,0.4912188036445266,0.4912188036445266,0.4912188036445266
macro avg,0.5844599448711079,0.4334862120439154,0.4877089258193161,7573.0
weighted avg,0.5291110276482994,0.4912188036445266,0.4856313251031159,7573.0
