,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,121,3,22,7,2,94,0,1,0,2,15,11,1,19,1,6,2,1,1,1,7
Construction,5,149,13,5,1,121,1,0,2,2,19,10,9,25,2,4,7,3,1,2,5
Consumer Goods,11,13,198,0,1,142,4,1,1,2,23,10,9,47,3,10,1,9,2,5,14
Financial Services,6,2,4,237,2,100,7,2,1,0,5,13,6,6,2,7,6,0,3,3,0
Human Resources,2,2,1,3,91,50,1,0,0,0,2,29,4,2,3,1,0,0,1,1,0
Information Technology and Services,9,9,30,18,9,1192,4,2,2,3,16,77,32,32,38,11,1,2,1,12,5
Insurance,3,1,1,9,1,42,49,0,0,2,2,3,0,3,0,5,2,0,0,1,1
Legal Services,2,2,2,2,0,34,0,71,0,0,0,7,2,2,1,1,0,0,0,0,2
"Leisure, Travel & Tourism",1,0,1,0,1,16,0,0,86,1,2,1,1,1,0,2,3,5,0,0,1
Logistics and Supply Chain,3,1,3,1,2,47,0,0,1,62,6,5,0,7,1,2,0,1,0,0,5
Machinery,6,10,25,4,0,166,0,0,0,2,157,5,6,90,6,11,0,4,4,1,8
Management Consulting,3,8,13,13,16,293,3,4,0,4,6,251,20,7,11,8,1,1,2,1,2
Marketing and Advertising,0,7,6,1,1,139,1,1,3,2,4,20,301,2,20,7,1,0,0,0,6
Mechanical or Industrial Engineering,21,16,28,2,2,160,0,3,0,1,75,6,4,233,0,10,3,0,0,1,12
Media Production,0,1,6,2,4,91,0,0,1,1,3,13,33,3,71,4,1,1,0,3,3
Medical Practice,2,4,8,4,4,119,1,1,1,1,9,14,3,13,2,159,0,4,3,0,4
Real Estate,2,8,7,4,1,63,2,1,5,1,3,10,3,0,0,2,120,1,2,0,1
Recreational Facilities and Services,1,2,12,1,2,57,1,1,0,0,9,6,2,7,1,5,0,40,1,1,7
Renewables & Environment,4,4,6,2,0,20,0,1,0,0,16,0,4,10,1,1,0,0,32,1,1
Telecommunications,1,2,7,2,1,62,0,0,0,1,2,5,3,3,2,3,1,0,1,39,2
Wholesale,5,4,27,3,2,61,1,0,1,1,16,5,7,16,3,9,2,6,0,2,61
