,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,120,4,13,4,1,137,0,0,1,2,7,6,1,17,1,1,0,0,0,0,2
Construction,0,129,8,1,1,175,1,0,2,1,19,10,2,22,2,1,6,1,2,0,3
Consumer Goods,9,19,160,3,0,191,1,0,0,0,23,4,4,56,1,6,0,7,3,2,17
Financial Services,2,0,4,227,2,139,7,2,0,0,5,9,5,4,0,2,3,0,1,0,0
Human Resources,0,1,0,2,86,76,0,0,0,0,2,14,5,2,1,2,0,0,0,1,1
Information Technology and Services,5,5,14,15,4,1292,0,3,6,5,10,56,26,27,21,3,2,2,0,6,3
Insurance,2,1,2,4,0,60,46,0,0,0,2,1,2,2,0,2,1,0,0,0,0
Legal Services,0,0,0,2,0,47,0,70,0,0,1,7,0,0,0,0,1,0,0,0,0
"Leisure, Travel & Tourism",1,0,1,0,0,30,0,0,79,0,0,2,1,0,0,1,2,4,0,0,1
Logistics and Supply Chain,2,2,3,2,0,67,0,0,0,55,0,3,0,6,1,2,1,0,0,0,3
Machinery,7,6,15,1,0,227,0,0,0,3,133,8,2,83,1,4,0,1,3,2,9
Management Consulting,2,5,7,13,13,326,2,5,1,3,6,235,18,9,11,9,2,0,0,0,0
Marketing and Advertising,1,4,3,3,1,173,0,0,1,1,2,11,279,10,26,2,1,0,1,0,3
Mechanical or Industrial Engineering,10,14,21,1,0,242,1,0,0,1,48,6,3,209,0,8,0,5,1,1,6
Media Production,0,1,6,2,1,119,1,0,2,0,1,4,44,4,52,1,1,1,0,0,1
Medical Practice,0,2,9,0,3,163,1,0,1,2,9,12,2,9,2,136,0,3,0,1,1
Real Estate,0,9,1,3,0,96,3,0,3,1,2,4,1,1,0,0,111,0,1,0,0
Recreational Facilities and Services,0,1,11,0,0,82,0,1,0,0,11,3,2,13,0,6,0,24,0,0,2
Renewables & Environment,1,6,2,2,0,42,0,0,0,0,9,5,0,9,0,0,1,0,26,0,0
Telecommunications,0,1,2,3,0,78,0,1,0,1,3,4,4,7,1,3,1,0,0,27,1
Wholesale,3,6,23,2,0,101,1,0,1,0,9,4,4,19,1,2,0,6,0,0,50
