,precision,recall,f1-score,support
Automotive,0.71875,0.5078864353312302,0.5951940850277264,317.0
Construction,0.5884476534296029,0.422279792746114,0.49170437405731526,386.0
Consumer Goods,0.46634615384615385,0.383399209486166,0.420824295010846,506.0
Financial Services,0.815028901734104,0.6844660194174758,0.7440633245382585,412.0
Human Resources,0.7734375,0.5129533678756477,0.6168224299065421,193.0
Information Technology and Services,0.45625,0.8245847176079735,0.5874556213017752,1505.0
Insurance,0.7945205479452054,0.464,0.5858585858585859,125.0
Legal Services,0.8857142857142857,0.7265625,0.798283261802575,128.0
"Leisure, Travel & Tourism",0.8686868686868687,0.7049180327868853,0.7782805429864255,122.0
Logistics and Supply Chain,0.7864077669902912,0.5510204081632653,0.6479999999999999,147.0
Machinery,0.40563991323210413,0.3702970297029703,0.38716356107660455,505.0
Management Consulting,0.5736568457538995,0.4962518740629685,0.532154340836013,667.0
Marketing and Advertising,0.6526946107784432,0.6264367816091954,0.6392961876832844,522.0
Mechanical or Industrial Engineering,0.4192139737991266,0.49913344887348354,0.45569620253164556,577.0
Media Production,0.39285714285714285,0.1825726141078838,0.2492917847025496,241.0
Medical Practice,0.6837944664031621,0.4859550561797753,0.568144499178982,356.0
Real Estate,0.803680981595092,0.5550847457627118,0.6566416040100251,236.0
Recreational Facilities and Services,0.5476190476190477,0.2948717948717949,0.3833333333333333,156.0
Renewables & Environment,0.7755102040816326,0.36893203883495146,0.5,103.0
Telecommunications,0.5769230769230769,0.21897810218978103,0.3174603174603175,137.0
Wholesale,0.45454545454545453,0.2801724137931034,0.3466666666666666,232.0
accuracy,0.5437739337118711,0.5437739337118711,0.5437739337118711,0.5437739337118711
macro avg,0.6399869236159378,0.4838455420668275,0.5382064294271176,7573.0
weighted avg,0.5736951134888966,0.5437739337118711,0.5369590143117078,7573.0
