,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,158,8,24,2,3,26,1,0,1,1,23,15,4,37,1,8,0,0,1,2,2
Construction,6,187,22,8,1,29,0,1,3,3,39,22,14,21,2,4,9,2,4,1,8
Consumer Goods,17,25,239,4,2,50,0,1,1,2,32,10,7,56,5,13,5,13,5,3,16
Financial Services,4,5,7,288,2,43,12,2,3,2,6,10,6,6,1,2,6,1,1,1,4
Human Resources,1,1,1,3,103,27,1,0,1,0,4,33,5,2,3,1,0,2,1,2,2
Information Technology and Services,7,10,35,21,8,1145,5,1,1,8,12,109,30,41,42,7,1,5,0,14,3
Insurance,3,1,4,10,1,19,66,0,0,1,2,9,1,3,0,2,2,1,0,0,0
Legal Services,1,3,3,5,1,9,0,93,0,0,1,7,1,1,0,2,0,1,0,0,0
"Leisure, Travel & Tourism",1,3,2,0,0,7,0,0,91,0,1,3,3,2,0,1,2,5,0,0,1
Logistics and Supply Chain,4,4,6,1,1,11,0,0,0,89,4,5,3,8,3,2,0,2,0,1,3
Machinery,23,19,29,3,0,49,0,2,0,6,198,22,4,112,1,9,0,5,6,2,15
Management Consulting,7,14,9,15,19,158,3,7,0,0,18,338,28,11,12,11,6,2,3,2,4
Marketing and Advertising,5,9,11,4,0,54,0,0,2,4,11,23,341,8,30,6,3,2,0,3,6
Mechanical or Industrial Engineering,17,24,46,3,3,63,1,0,0,2,91,13,5,276,2,11,3,2,2,1,12
Media Production,1,2,9,4,3,69,0,3,2,1,3,9,41,4,76,5,2,1,0,3,3
Medical Practice,5,5,24,6,2,43,1,0,0,1,16,25,9,21,2,188,1,5,0,0,2
Real Estate,1,21,7,9,1,16,2,0,2,1,6,8,4,2,0,0,149,2,2,1,2
Recreational Facilities and Services,2,4,15,3,0,12,1,1,3,1,11,8,3,6,1,6,1,65,0,0,13
Renewables & Environment,3,3,7,1,0,10,0,0,0,0,15,3,3,16,1,2,0,0,37,1,1
Telecommunications,1,2,11,5,2,44,0,1,0,1,3,5,7,5,1,2,3,1,0,42,1
Wholesale,5,13,24,4,3,17,0,0,2,3,22,8,7,23,4,10,2,7,0,1,77
