,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,206,4,16,2,2,15,0,0,0,0,16,13,4,24,1,4,0,1,1,2,6
Construction,4,246,18,4,1,10,0,0,2,1,36,12,10,21,0,4,5,2,3,1,6
Consumer Goods,10,20,293,4,0,31,1,1,1,1,28,8,5,48,1,11,3,11,5,3,21
Financial Services,4,6,7,317,0,30,11,3,2,1,2,13,5,2,1,3,4,0,0,1,0
Human Resources,1,1,0,4,120,12,1,0,1,0,2,36,5,2,1,3,0,0,0,2,2
Information Technology and Services,5,11,24,19,9,1225,3,2,3,9,5,75,26,16,38,14,2,3,0,11,5
Insurance,1,3,2,12,0,8,83,0,0,1,1,5,1,1,0,4,2,1,0,0,0
Legal Services,0,3,0,4,0,3,0,110,0,0,1,3,1,0,0,2,1,0,0,0,0
"Leisure, Travel & Tourism",0,0,1,0,1,6,0,0,103,0,0,2,2,0,0,0,2,5,0,0,0
Logistics and Supply Chain,3,3,6,1,1,8,0,0,0,103,2,5,0,7,2,1,0,1,0,1,3
Machinery,16,23,22,2,1,23,0,0,1,2,249,15,1,118,1,7,2,2,4,2,14
Management Consulting,5,16,5,19,19,135,3,6,0,1,7,378,32,4,13,12,3,1,4,2,2
Marketing and Advertising,2,10,10,2,1,38,0,1,3,3,7,19,385,4,28,2,1,2,0,2,2
Mechanical or Industrial Engineering,15,20,43,1,3,35,0,0,0,4,96,7,3,328,1,4,2,2,0,0,13
Media Production,0,1,5,4,2,76,0,1,3,1,1,11,39,1,82,1,1,5,0,5,2
Medical Practice,2,5,16,0,1,28,0,0,1,1,6,13,0,14,0,259,1,5,1,0,3
Real Estate,1,17,6,10,0,7,2,0,1,1,5,7,1,2,1,1,172,0,0,1,1
Recreational Facilities and Services,1,4,13,0,1,8,0,0,4,0,8,1,6,6,1,6,0,91,1,0,5
Renewables & Environment,2,4,4,1,0,7,0,0,0,0,14,3,1,15,0,1,0,0,49,0,2
Telecommunications,0,4,13,3,1,34,0,1,0,1,3,5,5,3,3,0,0,0,1,57,3
Wholesale,2,8,28,6,0,11,0,0,0,1,21,3,7,15,3,9,2,8,0,0,108
