,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,200,3,17,1,1,26,0,0,0,1,16,9,5,29,0,1,0,1,0,0,7
Construction,2,242,16,1,1,29,1,0,3,2,33,17,8,16,1,1,9,0,1,0,3
Consumer Goods,15,17,266,4,0,51,0,0,1,0,31,7,9,60,3,3,1,11,6,4,17
Financial Services,7,2,6,313,0,43,10,2,1,2,1,17,2,1,0,3,2,0,0,0,0
Human Resources,2,1,1,4,111,23,1,1,0,0,2,33,9,1,0,4,0,0,0,0,0
Information Technology and Services,12,8,19,17,5,1276,0,1,1,5,8,57,25,17,27,13,3,4,0,5,2
Insurance,4,2,1,13,0,10,85,0,0,0,1,3,1,0,0,1,4,0,0,0,0
Legal Services,0,1,1,3,1,6,0,104,0,0,1,4,2,0,1,2,2,0,0,0,0
"Leisure, Travel & Tourism",0,1,1,1,0,10,0,0,99,0,0,2,1,1,1,0,2,3,0,0,0
Logistics and Supply Chain,3,4,5,2,1,15,0,0,0,91,9,4,0,6,0,1,0,0,1,0,5
Machinery,11,25,23,2,2,24,0,0,0,2,251,10,1,130,1,6,3,0,4,2,8
Management Consulting,4,15,6,14,23,150,4,5,0,3,7,363,35,4,7,16,4,1,3,2,1
Marketing and Advertising,5,8,14,3,1,62,0,0,0,1,2,22,365,2,23,4,3,2,0,0,5
Mechanical or Industrial Engineering,21,14,37,2,2,47,0,0,0,1,85,10,2,341,0,2,0,3,2,0,8
Media Production,0,3,10,5,2,81,0,1,3,0,0,9,48,2,70,2,0,0,0,1,4
Medical Practice,0,3,13,1,0,32,3,0,1,3,10,12,1,14,2,255,1,3,1,0,1
Real Estate,0,21,4,4,0,16,6,3,1,1,3,6,2,0,1,0,167,0,0,0,1
Recreational Facilities and Services,0,3,19,1,2,6,0,0,1,0,9,2,5,4,0,7,0,91,1,0,5
Renewables & Environment,1,7,8,0,0,11,0,0,0,0,17,3,1,14,1,1,0,0,39,0,0
Telecommunications,0,3,14,1,1,41,0,0,0,0,5,5,7,5,3,0,0,1,1,49,1
Wholesale,5,14,39,0,0,14,0,0,0,2,23,2,3,12,1,5,0,12,1,0,99
