,precision,recall,f1-score,support
Automotive,0.6579804560260586,0.637223974763407,0.6474358974358975,317.0
Construction,0.6142131979695431,0.6269430051813472,0.6205128205128205,386.0
Consumer Goods,0.5677799607072691,0.5711462450592886,0.5694581280788177,506.0
Financial Services,0.7929292929292929,0.7621359223300971,0.7772277227722771,412.0
Human Resources,0.7391304347826086,0.616580310880829,0.6723163841807909,193.0
Information Technology and Services,0.6760722347629797,0.7960132890365449,0.731156545620995,1505.0
Insurance,0.7592592592592593,0.656,0.7038626609442061,125.0
Legal Services,0.912,0.890625,0.9011857707509882,128.0
"Leisure, Travel & Tourism",0.8487394957983193,0.8278688524590164,0.8381742738589212,122.0
Logistics and Supply Chain,0.7704918032786885,0.6394557823129252,0.6988847583643123,147.0
Machinery,0.49700598802395207,0.49306930693069306,0.4950298210735586,505.0
Management Consulting,0.593607305936073,0.5847076461769115,0.5891238670694864,667.0
Marketing and Advertising,0.6951871657754011,0.7471264367816092,0.7202216066481993,522.0
Mechanical or Industrial Engineering,0.5306451612903226,0.5701906412478336,0.5497076023391813,577.0
Media Production,0.43956043956043955,0.33195020746887965,0.37825059101654845,241.0
Medical Practice,0.7351190476190477,0.6938202247191011,0.7138728323699423,356.0
Real Estate,0.8341463414634146,0.7245762711864406,0.7755102040816325,236.0
Recreational Facilities and Services,0.6466165413533834,0.5512820512820513,0.5951557093425605,156.0
Renewables & Environment,0.6470588235294118,0.42718446601941745,0.5146198830409358,103.0
Telecommunications,0.6049382716049383,0.35766423357664234,0.4495412844036697,137.0
Wholesale,0.5555555555555556,0.5172413793103449,0.5357142857142857,232.0
accuracy,0.6483560015845767,0.6483560015845767,0.6483560015845767,0.6483560015845767
macro avg,0.6722874655821884,0.6201335831773038,0.6417601261723823,7573.0
weighted avg,0.6480940375604537,0.6483560015845767,0.6454123253988328,7573.0
