,precision,recall,f1-score,support
Automotive,0.7210144927536232,0.6277602523659306,0.6711635750421585,317.0
Construction,0.6215469613259669,0.582901554404145,0.6016042780748663,386.0
Consumer Goods,0.5233265720081136,0.5098814229249012,0.5165165165165165,506.0
Financial Services,0.8005390835579514,0.720873786407767,0.7586206896551725,412.0
Human Resources,0.7586206896551724,0.5699481865284974,0.650887573964497,193.0
Information Technology and Services,0.5941286113699907,0.8471760797342193,0.6984387838948233,1505.0
Insurance,0.78125,0.6,0.6787330316742081,125.0
Legal Services,0.8813559322033898,0.8125,0.8455284552845529,128.0
"Leisure, Travel & Tourism",0.8260869565217391,0.7786885245901639,0.8016877637130801,122.0
Logistics and Supply Chain,0.7355371900826446,0.6054421768707483,0.6641791044776119,147.0
Machinery,0.4417744916820702,0.47326732673267324,0.4569789674952199,505.0
Management Consulting,0.5983471074380166,0.5427286356821589,0.5691823899371069,667.0
Marketing and Advertising,0.666015625,0.6532567049808429,0.6595744680851063,522.0
Mechanical or Industrial Engineering,0.4915254237288136,0.5528596187175043,0.5203915171288744,577.0
Media Production,0.45774647887323944,0.2697095435684647,0.33942558746736295,241.0
Medical Practice,0.7664473684210527,0.6544943820224719,0.706060606060606,356.0
Real Estate,0.8241206030150754,0.6949152542372882,0.7540229885057472,236.0
Recreational Facilities and Services,0.5982142857142857,0.42948717948717946,0.5,156.0
Renewables & Environment,0.673469387755102,0.32038834951456313,0.4342105263157895,103.0
Telecommunications,0.7666666666666667,0.3357664233576642,0.46700507614213194,137.0
Wholesale,0.5477707006369427,0.3706896551724138,0.442159383033419,232.0
accuracy,0.6182490426515251,0.6182490426515251,0.6182490426515251,0.6182490426515251
macro avg,0.6702621251623742,0.5691778598714095,0.6064938705937548,7573.0
weighted avg,0.6270951155794482,0.6182490426515251,0.6126428230491948,7573.0
