,precision,recall,f1-score,support
Automotive,0.7041800643086816,0.6908517350157729,0.697452229299363,317.0
Construction,0.6337662337662338,0.6321243523316062,0.6329442282749677,386.0
Consumer Goods,0.5703275529865125,0.5849802371541502,0.577560975609756,506.0
Financial Services,0.7964824120603015,0.7694174757281553,0.782716049382716,412.0
Human Resources,0.7321428571428571,0.6373056994818653,0.6814404432132963,193.0
Information Technology and Services,0.697594501718213,0.8093023255813954,0.7493079052599201,1505.0
Insurance,0.7747747747747747,0.688,0.728813559322034,125.0
Legal Services,0.9047619047619048,0.890625,0.8976377952755906,128.0
"Leisure, Travel & Tourism",0.8706896551724138,0.8278688524590164,0.8487394957983194,122.0
Logistics and Supply Chain,0.7868852459016393,0.6530612244897959,0.7137546468401487,147.0
Machinery,0.5163934426229508,0.499009900990099,0.5075528700906345,505.0
Management Consulting,0.6255924170616114,0.5937031484257871,0.6092307692307692,667.0
Marketing and Advertising,0.7007042253521126,0.7624521072796935,0.7302752293577981,522.0
Mechanical or Industrial Engineering,0.5434439178515008,0.5961871750433275,0.568595041322314,577.0
Media Production,0.42783505154639173,0.34439834024896265,0.3816091954022989,241.0
Medical Practice,0.757396449704142,0.7191011235955056,0.7377521613832854,356.0
Real Estate,0.8509615384615384,0.75,0.7972972972972974,236.0
Recreational Facilities and Services,0.6737588652482269,0.6089743589743589,0.6397306397306397,156.0
Renewables & Environment,0.7123287671232876,0.5048543689320388,0.5909090909090908,103.0
Telecommunications,0.6621621621621622,0.35766423357664234,0.46445497630331756,137.0
Wholesale,0.5520361990950227,0.5258620689655172,0.5386313465783665,232.0
accuracy,0.6652581539680443,0.6652581539680443,0.6652581539680443,0.6652581539680443
macro avg,0.690200868515356,0.6402735108701757,0.6607812355181868,7573.0
weighted avg,0.6653305192632815,0.6652581539680443,0.6625915596348053,7573.0
