,precision,recall,f1-score,support
Automotive,0.7240143369175627,0.637223974763407,0.6778523489932886,317.0
Construction,0.6169665809768637,0.6217616580310881,0.6193548387096774,386.0
Consumer Goods,0.49809885931558934,0.5177865612648221,0.5077519379844961,506.0
Financial Services,0.7984496124031008,0.75,0.7734668335419274,412.0
Human Resources,0.75,0.5440414507772021,0.6306306306306305,193.0
Information Technology and Services,0.6378872524123921,0.8345514950166113,0.7230857800805988,1505.0
Insurance,0.8137254901960784,0.664,0.7312775330396476,125.0
Legal Services,0.8728813559322034,0.8046875,0.83739837398374,128.0
"Leisure, Travel & Tourism",0.85,0.8360655737704918,0.8429752066115703,122.0
Logistics and Supply Chain,0.7478991596638656,0.6054421768707483,0.6691729323308271,147.0
Machinery,0.4601113172541744,0.4910891089108911,0.47509578544061304,505.0
Management Consulting,0.6205211726384365,0.5712143928035982,0.594847775175644,667.0
Marketing and Advertising,0.684981684981685,0.7164750957854407,0.700374531835206,522.0
Mechanical or Industrial Engineering,0.4984567901234568,0.5597920277296361,0.5273469387755103,577.0
Media Production,0.49206349206349204,0.2572614107883817,0.33787465940054484,241.0
Medical Practice,0.7689969604863222,0.7106741573033708,0.7386861313868613,356.0
Real Estate,0.8495145631067961,0.7415254237288136,0.7918552036199096,236.0
Recreational Facilities and Services,0.6343283582089553,0.5448717948717948,0.5862068965517242,156.0
Renewables & Environment,0.6833333333333333,0.39805825242718446,0.5030674846625767,103.0
Telecommunications,0.7454545454545455,0.29927007299270075,0.42708333333333337,137.0
Wholesale,0.562874251497006,0.4051724137931034,0.47117794486215536,232.0
accuracy,0.6375280602139178,0.6375280602139178,0.6375280602139178,0.6375280602139178
macro avg,0.6814551960459934,0.5957602162680613,0.6269801476643087,7573.0
weighted avg,0.6426540415813795,0.6375280602139178,0.6322767999849508,7573.0
