,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,61,8,13,7,7,168,1,0,1,1,11,9,4,16,1,5,0,0,1,1,2
Construction,7,49,15,5,9,199,1,0,3,5,26,17,4,21,3,7,5,2,0,1,7
Consumer Goods,15,13,77,13,1,236,2,0,1,4,27,20,13,36,9,11,5,4,0,2,17
Financial Services,8,8,9,100,4,203,6,2,0,2,15,21,6,7,3,7,5,2,0,2,2
Human Resources,0,9,4,2,28,93,1,2,2,1,4,15,7,11,1,4,5,0,0,1,3
Information Technology and Services,12,18,30,24,9,1123,3,3,3,9,32,82,39,43,22,16,10,4,2,8,13
Insurance,2,2,5,7,1,69,18,0,1,2,1,4,7,2,0,2,0,0,0,2,0
Legal Services,2,1,2,7,0,58,0,33,0,2,0,8,0,4,2,4,4,1,0,0,0
"Leisure, Travel & Tourism",0,4,6,3,1,52,0,0,26,1,7,4,5,4,1,1,2,4,0,0,1
Logistics and Supply Chain,2,1,8,1,0,80,0,0,1,26,5,6,3,10,2,1,0,0,0,0,1
Machinery,6,10,19,7,1,251,0,2,1,0,78,20,12,58,4,9,3,1,7,2,14
Management Consulting,3,4,14,12,10,376,3,7,4,7,20,125,28,27,5,5,5,2,1,3,6
Marketing and Advertising,5,7,13,6,0,302,1,1,3,2,12,29,94,14,7,6,8,1,0,4,7
Mechanical or Industrial Engineering,13,21,24,5,3,280,2,1,1,10,47,19,11,101,3,11,3,2,3,4,13
Media Production,3,2,9,2,2,148,2,0,0,2,8,15,18,4,17,2,2,1,1,1,2
Medical Practice,7,4,22,13,4,179,1,3,2,3,14,13,11,21,7,42,3,1,0,1,5
Real Estate,4,7,4,9,3,116,2,1,0,0,8,7,7,2,0,4,58,0,0,0,4
Recreational Facilities and Services,1,2,5,3,1,92,1,0,0,4,5,4,9,7,1,6,2,9,0,2,2
Renewables & Environment,2,3,2,2,0,60,0,0,0,1,7,3,2,9,0,2,0,0,9,0,1
Telecommunications,3,3,7,0,0,88,2,0,1,0,7,4,5,4,1,4,0,0,0,6,2
Wholesale,3,4,21,1,1,116,1,0,0,2,8,5,7,15,2,7,4,4,1,2,28
