,precision,recall,f1-score,support
Automotive,0.7269736842105263,0.6971608832807571,0.7117552334943641,317.0
Construction,0.638676844783715,0.6502590673575129,0.644415917843389,386.0
Consumer Goods,0.5573440643863179,0.5474308300395256,0.5523429710867397,506.0
Financial Services,0.7802469135802469,0.7669902912621359,0.7735618115055078,412.0
Human Resources,0.7514792899408284,0.6580310880829016,0.7016574585635359,193.0
Information Technology and Services,0.6970720720720721,0.8225913621262458,0.7546479731789089,1505.0
Insurance,0.8055555555555556,0.696,0.7467811158798283,125.0
Legal Services,0.88,0.859375,0.8695652173913043,128.0
"Leisure, Travel & Tourism",0.8487394957983193,0.8278688524590164,0.8381742738589212,122.0
Logistics and Supply Chain,0.7480916030534351,0.6666666666666666,0.7050359712230216,147.0
Machinery,0.49429657794676807,0.5148514851485149,0.504364694471387,505.0
Management Consulting,0.6326860841423948,0.5862068965517241,0.6085603112840466,667.0
Marketing and Advertising,0.6972477064220184,0.7279693486590039,0.712277413308341,522.0
Mechanical or Industrial Engineering,0.5157232704402516,0.5684575389948007,0.5408079142621599,577.0
Media Production,0.4491017964071856,0.3112033195020747,0.3676470588235294,241.0
Medical Practice,0.7521865889212828,0.7247191011235955,0.7381974248927038,356.0
Real Estate,0.8301886792452831,0.7457627118644068,0.7857142857142858,236.0
Recreational Facilities and Services,0.6291390728476821,0.6089743589743589,0.6188925081433224,156.0
Renewables & Environment,0.6756756756756757,0.4854368932038835,0.5649717514124294,103.0
Telecommunications,0.6296296296296297,0.3722627737226277,0.4678899082568807,137.0
Wholesale,0.5595854922279793,0.46551724137931033,0.5082352941176471,232.0
accuracy,0.6599762313482107,0.6599762313482107,0.6599762313482107,0.6599762313482107
macro avg,0.6809352427279605,0.6335112243047173,0.6531188813672502,7573.0
weighted avg,0.6589665568536809,0.6599762313482107,0.6565863048268824,7573.0
