,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,221,2,10,6,3,18,0,0,0,0,14,9,3,20,0,2,0,2,0,3,4
Construction,3,251,12,2,3,20,0,1,2,3,22,10,8,24,3,1,8,3,4,1,5
Consumer Goods,11,15,277,6,0,35,0,1,3,2,31,12,2,54,9,10,1,12,3,2,20
Financial Services,8,1,5,316,0,34,9,3,1,0,3,14,3,2,3,2,4,0,1,1,2
Human Resources,1,0,2,4,127,12,0,0,2,0,2,29,6,2,1,2,0,0,1,1,1
Information Technology and Services,7,6,23,18,10,1238,1,1,2,10,16,61,23,11,41,16,4,3,0,11,3
Insurance,2,1,1,12,0,7,87,0,0,0,0,5,3,1,0,1,4,0,0,1,0
Legal Services,0,1,2,5,0,2,0,110,0,1,1,1,2,0,0,2,1,0,0,0,0
"Leisure, Travel & Tourism",0,1,2,1,0,5,0,0,101,0,0,2,4,0,0,0,2,4,0,0,0
Logistics and Supply Chain,5,2,6,2,0,7,0,0,0,98,10,4,2,7,1,1,0,0,1,0,1
Machinery,8,25,20,2,0,28,0,0,0,2,260,5,1,119,1,6,3,2,7,1,15
Management Consulting,5,17,7,12,18,128,3,8,1,3,8,391,28,4,6,15,4,1,2,5,1
Marketing and Advertising,2,13,10,2,1,40,0,0,1,3,5,26,380,5,18,5,1,3,0,1,6
Mechanical or Industrial Engineering,18,22,31,1,2,36,1,0,0,3,95,7,1,328,2,4,2,4,2,0,18
Media Production,0,0,8,4,3,72,0,1,2,1,2,8,52,3,75,2,1,1,0,3,3
Medical Practice,1,2,11,0,0,24,5,0,0,1,9,14,6,17,0,258,1,6,1,0,0
Real Estate,2,16,4,9,0,10,2,0,1,1,1,8,2,1,1,1,176,1,0,0,0
Recreational Facilities and Services,1,2,11,1,1,6,0,0,3,0,6,2,8,6,1,7,0,95,1,0,5
Renewables & Environment,2,4,6,1,0,7,0,0,0,0,13,2,0,17,1,0,0,0,50,0,0
Telecommunications,1,4,17,0,1,38,0,0,0,1,3,6,6,2,3,0,0,2,1,51,1
Wholesale,6,8,32,1,0,9,0,0,0,2,25,2,5,13,1,8,0,12,0,0,108
