,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,204,2,20,3,1,20,0,0,0,1,14,10,7,29,0,2,0,0,0,0,4
Construction,2,241,19,1,1,27,1,0,2,3,30,14,7,19,0,1,11,1,3,0,3
Consumer Goods,14,15,264,5,0,45,0,0,2,0,44,7,8,59,5,4,2,9,5,2,16
Financial Services,7,1,5,306,0,43,10,2,2,1,1,18,3,1,1,5,5,0,1,0,0
Human Resources,0,2,3,2,111,27,0,0,1,0,1,33,7,2,0,4,0,0,0,0,0
Information Technology and Services,12,8,18,16,6,1252,0,3,3,6,9,60,32,19,31,15,2,3,0,9,1
Insurance,1,2,1,18,0,10,81,0,0,0,1,4,1,1,1,1,3,0,0,0,0
Legal Services,0,1,2,5,0,3,0,105,0,0,2,4,2,1,0,2,1,0,0,0,0
"Leisure, Travel & Tourism",0,0,2,1,0,8,1,0,98,0,0,2,2,2,1,0,3,2,0,0,0
Logistics and Supply Chain,5,6,4,1,0,13,0,0,0,95,4,4,3,8,0,1,0,0,1,0,2
Machinery,9,23,20,3,1,24,0,0,2,3,244,8,4,134,1,9,4,0,3,1,12
Management Consulting,2,13,7,11,21,147,2,5,0,2,4,379,35,9,7,12,4,1,3,3,0
Marketing and Advertising,4,9,14,3,2,61,1,1,1,2,5,25,363,4,15,3,4,2,0,0,3
Mechanical or Industrial Engineering,19,14,48,1,1,50,0,0,0,4,77,12,4,330,0,4,0,3,2,0,8
Media Production,0,2,10,4,1,94,0,1,3,0,0,11,57,0,51,2,0,1,0,2,2
Medical Practice,1,2,11,1,0,30,3,1,2,2,15,14,2,13,1,249,3,4,1,0,1
Real Estate,0,20,3,6,0,14,2,1,1,2,2,12,4,0,0,1,166,0,0,1,1
Recreational Facilities and Services,0,3,17,1,2,6,0,0,1,0,6,1,9,5,0,7,0,90,1,0,7
Renewables & Environment,1,11,5,0,0,12,0,0,0,0,15,4,1,12,1,2,0,0,39,0,0
Telecommunications,1,3,13,1,1,40,0,0,0,0,5,5,7,7,2,0,0,0,1,49,2
Wholesale,5,13,34,0,0,14,0,0,0,1,25,2,3,17,1,5,0,15,1,0,96
