feature,value
sip,0.00464365491643548
hörgeräte,0.0021086232736706734
vermögen,0.0012358245439827442
vermögensverwaltung,0.0011788805713877082
liquidität,0.0011679306626319885
spirituosen,0.0010962913511320949
fördertechnik,0.0007992513128556311
gebäude,0.00077474006684497
drinks,0.0007284430903382599
folien,0.0007207056623883545
producten,0.0006647036061622202
gehäuse,0.0006568796234205365
softwarelösungen,0.0006473617977462709
powertrain,0.0006385421729646623
rechtsanwälte,0.0006295270868577063
beton,0.0006043288740329444
glasfaser,0.0005841853562742472
qualitätskontrolle,0.0005699886241927743
fassaden,0.0005651324172504246
recipes,0.0005537761026062071
chocolate,0.0005495886434800923
passive,0.0005424440023489296
m²,0.0005396080669015646
titan,0.0005277232266962528
boxes,0.0004998933873139322
zubehör,0.0004919968196190894
öffnungszeiten,0.0004891495336778462
santé,0.0004623232234735042
backwaren,0.00045295493328012526
graduates,0.00045114330714568496
fräsen,0.00044198002433404326
unabhängige,0.00043611525325104594
finanzgruppe,0.00042567364289425313
énergie,0.0004181598196737468
arbeitnehmerüberlassung,0.0004106514388695359
präzision,0.0004014112346339971
heritage,0.00040132791036739945
wärme,0.0004009116382803768
caps,0.0003953744890168309
mobilität,0.000388998567359522
führungskräften,0.00038290448719635606
versicherer,0.0003821910941042006
bags,0.000381875695893541
einkaufsbedingungen,0.0003811781934928149
spezialitäten,0.0003807169559877366
hochbau,0.00037870113737881184
groã,0.00037631209124810994
berät,0.0003731515316758305
energiewirtschaft,0.0003630569262895733
elektroinstallation,0.00036038647522218525
cameras,0.00034450265229679644
möglichkeit,0.0003438108542468399
verfã¼gung,0.0003432942903600633
unterstützen,0.00034252836485393345
geräte,0.000336502242134884
geschäftsprozesse,0.00033439212711527944
städte,0.00032957977964542806
lösung,0.00032874607131816447
unternehmensphilosophie,0.0003278495860286057
bni,0.000325298955431208
hören,0.0003252551250625402
geöffnet,0.00032454481697641313
zukunftsfähige,0.0003242025850340724
apotheken,0.0003213095769751817
gmp,0.00031933048740029335
energia,0.0003117421001661569
gebäudeautomation,0.00030928500927984715
qualität,0.00030343563412316144
herstellern,0.00030337763018906116
führung,0.00030252343276515603
händlersuche,0.0002971039793919772
emv,0.0002967107284348458
selbstständige,0.0002934564836323261
schlüssel,0.000286528782453388
ausbildungsplätze,0.0002861050597857684
chirurgie,0.0002824968541972339
lã,0.0002794258180074394
lösungen,0.0002772073494270444
exkl,0.0002702576748561114
ladungssicherung,0.0002695020812097937
measuring,0.000268813397269696
selbstverständlich,0.00026612443616613746
customs,0.00026567550958134234
einführung,0.00026007017004303634
online,0.0002599734580144286
install,0.0002542573492974043
anhänger,0.00025162281235679984
engineering,0.0002512839564587921
bauelemente,0.00025087143876589835
gebäudetechnik,0.0002481838455423713
widerrufsbelehrung,0.00024659468908794224
kollektion,0.0002445515419822186
français,0.0002445514837745577
wählen,0.00024399641552008688
universität,0.00024148248485289514
könig,0.00024115972337312996
kreativität,0.00024079857394099236
beliefern,0.0002380370133323595
extras,0.00023723201593384147
system,0.00023497115762438625
ihre,0.00023297480947803706
errichtung,0.00023262581089511514
wünsche,0.00023196519759949297
lcd,0.00023075129138305783
tassen,0.00022905618243385106
von,0.00022895223810337484
bürobedarf,0.00022875073773320764
praktika,0.00022854513372294605
erhältlich,0.0002281342021888122
fernwärme,0.00022714845545124263
verstärkt,0.00022398783767130226
fachkräfte,0.0002236208092654124
kommunikationslösungen,0.00022081031056586653
exercise,0.0002205857599619776
später,0.0002198707079514861
gründer,0.00021983524493407458
laserschneiden,0.00021762876713182777
unternehmensführung,0.0002155716356355697
büros,0.00021507831115741283
véhicules,0.0002148806961486116
lebensqualität,0.0002145512553397566
länder,0.0002133491652784869
drill,0.00021146847575437278
veröffentlicht,0.00021139648742973804
perso,0.0002096488606184721
forderungen,0.0002092699724016711
global,0.00020613525703083724
generators,0.00020611386571545154
ergonomie,0.0002052419731626287
leistungsverhältnis,0.00020518580276984721
datos,0.00020485986897256225
akustik,0.00020247748761903495
häuser,0.0002013785851886496
tunnel,0.00020122619753237814
verfügung,0.00020103738643229008
whatever,0.0002009167365031317
rohstoffe,0.00020058933296240866
hrb,0.0002004314010264352
bewertet,0.00020016109920106828
oberflächen,0.0001957459026016295
ingenieurbüro,0.00019436194270383567
übersichtlich,0.00019275976228527725
berufserfahrene,0.00019200777751393616
getränke,0.00019134253670927137
méxico,0.0001905015524243936
küchen,0.00018962383910547942
ärzte,0.0001889334962470457
piece,0.00018751813331618905
gäste,0.00018673409067559987
überwachen,0.00018648152763489634
schã,0.0001859692420111969
schön,0.00018561238539405167
fördern,0.00018554917187429965
dann,0.0001847077364800498
und,0.0001845819060690701
中国,0.0001813518611015752
mail,0.00018129003001376987
diagnose,0.00017943012062460184
ausführung,0.0001785171771189198
mehrfamilienhaus,0.00017802172806113958
nster,0.00017760878836270422
wholesale,0.00017702249169815332
erzählen,0.0001769179361872375
your,0.000175491877598688
ber,0.00017216640117112547
präzise,0.00017020224186126143
dürfen,0.00016938248882070184
systemlösungen,0.00016798968135844916
behälter,0.0001664774608798325
50,0.00016613923071417958
world,0.00016588896687608212
internetseiten,0.00016400334425270557
growth,0.00016342180606443435
gründung,0.00016322630108334124
führen,0.0001628772442927584
berücksichtigen,0.00016272651555482298
erfüllt,0.00016218936070799828
getriebe,0.00016218026576098055
hotel,0.00016187768778763711
energiemanagement,0.00015805568546056747
ansätze,0.00015747170255053788
kreditkarten,0.00015703553799539804
essence,0.00015692735905759037
gestão,0.0001562721299706027
³ã,0.0001558869844302535
nuestras,0.00015567951777484268
häufig,0.00015459125279448926
combines,0.00015328582958318293
clearance,0.00015208004333544523
lo,0.00015172443818300962
bent,0.00015148453530855477
são,0.0001509444264229387
zustimmen,0.00015078669821377844
bauweise,0.000150508334627375
contractor,0.00015036656986922026
bestmögliche,0.00014848177670501173
della,0.00014842540258541703
colombia,0.00014821920194663107
