,precision,recall,f1-score,support
Automotive,0.6931034482758621,0.6340694006309149,0.6622734761120265,317.0
Construction,0.6112531969309463,0.6191709844559585,0.6151866151866152,386.0
Consumer Goods,0.545271629778672,0.5355731225296443,0.5403788634097706,506.0
Financial Services,0.7732997481108312,0.7451456310679612,0.7589616810877626,412.0
Human Resources,0.7028571428571428,0.6373056994818653,0.6684782608695653,193.0
Information Technology and Services,0.6564046179219352,0.7933554817275748,0.7184115523465704,1505.0
Insurance,0.8181818181818182,0.648,0.7232142857142857,125.0
Legal Services,0.8345864661654135,0.8671875,0.8505747126436781,128.0
"Leisure, Travel & Tourism",0.8421052631578947,0.7868852459016393,0.8135593220338982,122.0
Logistics and Supply Chain,0.7037037037037037,0.6462585034013606,0.6737588652482269,147.0
Machinery,0.4715127701375246,0.4752475247524752,0.47337278106508873,505.0
Management Consulting,0.6101973684210527,0.5562218890554723,0.5819607843137256,667.0
Marketing and Advertising,0.6506238859180036,0.6992337164750958,0.6740535549399815,522.0
Mechanical or Industrial Engineering,0.49691358024691357,0.5580589254766031,0.5257142857142857,577.0
Media Production,0.4367816091954023,0.3153526970954357,0.36626506024096384,241.0
Medical Practice,0.69164265129683,0.6741573033707865,0.6827880512091039,356.0
Real Estate,0.8489583333333334,0.690677966101695,0.7616822429906543,236.0
Recreational Facilities and Services,0.6148148148148148,0.532051282051282,0.570446735395189,156.0
Renewables & Environment,0.6461538461538462,0.4077669902912621,0.5,103.0
Telecommunications,0.618421052631579,0.34306569343065696,0.44131455399061037,137.0
Wholesale,0.5336538461538461,0.47844827586206895,0.5045454545454545,232.0
accuracy,0.6309256569391258,0.6309256569391258,0.6309256569391258,0.6309256569391258
macro avg,0.6571638473041604,0.6020587539599883,0.6241400542408313,7573.0
weighted avg,0.6316236601187877,0.6309256569391258,0.6276036490430368,7573.0
