,precision,recall,f1-score,support
Automotive,0.7472118959107806,0.6340694006309149,0.6860068259385665,317.0
Construction,0.6229050279329609,0.5777202072538861,0.5994623655913979,386.0
Consumer Goods,0.5145228215767634,0.4901185770750988,0.5020242914979756,506.0
Financial Services,0.7841530054644809,0.6966019417475728,0.7377892030848329,412.0
Human Resources,0.7350993377483444,0.5751295336787565,0.6453488372093024,193.0
Information Technology and Services,0.578852236782648,0.8511627906976744,0.6890801506186122,1505.0
Insurance,0.8,0.608,0.6909090909090909,125.0
Legal Services,0.8818181818181818,0.7578125,0.8151260504201681,128.0
"Leisure, Travel & Tourism",0.811965811965812,0.7786885245901639,0.7949790794979079,122.0
Logistics and Supply Chain,0.7454545454545455,0.5578231292517006,0.6381322957198444,147.0
Machinery,0.44652908067542213,0.47128712871287126,0.4585741811175337,505.0
Management Consulting,0.5967479674796748,0.5502248875562219,0.5725429017160688,667.0
Marketing and Advertising,0.6460674157303371,0.6609195402298851,0.6534090909090908,522.0
Mechanical or Industrial Engineering,0.5007923930269413,0.5476603119584056,0.5231788079470199,577.0
Media Production,0.4444444444444444,0.2157676348547718,0.2905027932960894,241.0
Medical Practice,0.752442996742671,0.648876404494382,0.6968325791855204,356.0
Real Estate,0.8253968253968254,0.6610169491525424,0.7341176470588235,236.0
Recreational Facilities and Services,0.6071428571428571,0.4358974358974359,0.5074626865671643,156.0
Renewables & Environment,0.6545454545454545,0.34951456310679613,0.45569620253164556,103.0
Telecommunications,0.803921568627451,0.29927007299270075,0.43617021276595747,137.0
Wholesale,0.5189873417721519,0.35344827586206895,0.4205128205128205,232.0
accuracy,0.611778687442229,0.611778687442229,0.611778687442229,0.611778687442229
macro avg,0.6675714862018451,0.5581433242735168,0.5975170530521636,7573.0
weighted avg,0.6216123064995737,0.611778687442229,0.6049294877144459,7573.0
