,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,201,3,16,3,3,19,0,0,0,2,26,7,3,15,5,2,0,5,2,1,4
Construction,4,239,19,1,3,35,0,0,3,1,22,10,7,24,1,5,5,0,3,0,4
Consumer Goods,11,14,271,5,1,44,0,1,2,2,32,10,5,46,4,16,1,14,3,5,19
Financial Services,5,3,5,307,2,46,8,2,0,0,0,12,4,1,3,4,4,2,2,0,2
Human Resources,1,1,1,0,123,14,0,1,1,1,1,30,9,3,2,3,0,1,0,0,1
Information Technology and Services,8,8,30,17,8,1194,1,8,2,12,10,76,36,17,38,16,3,2,0,7,12
Insurance,1,1,2,16,1,8,81,0,0,0,1,1,2,3,0,2,5,0,0,1,0
Legal Services,0,0,3,4,0,3,0,111,0,0,3,1,0,1,0,1,1,0,0,0,0
"Leisure, Travel & Tourism",0,2,3,2,0,9,0,0,96,0,1,1,3,1,0,0,0,3,0,1,0
Logistics and Supply Chain,3,3,2,0,0,14,0,0,0,95,4,5,3,10,1,2,0,0,1,2,2
Machinery,16,23,19,4,4,32,0,0,0,2,240,8,4,121,2,9,5,1,3,0,12
Management Consulting,3,21,9,11,23,132,4,6,0,5,11,371,33,9,12,7,2,0,3,2,3
Marketing and Advertising,5,12,10,4,0,46,0,1,2,3,3,24,365,6,27,3,0,2,0,2,7
Mechanical or Industrial Engineering,19,19,28,3,1,41,0,0,1,4,83,14,7,322,1,8,0,2,4,2,18
Media Production,1,0,6,3,1,72,0,0,3,1,3,10,51,2,76,5,2,2,0,3,0
Medical Practice,1,3,13,5,2,24,3,2,0,2,10,12,5,22,1,240,1,6,1,0,3
Real Estate,2,20,2,9,0,14,2,1,2,2,3,2,4,4,1,2,163,2,0,1,0
Recreational Facilities and Services,2,0,7,0,1,13,0,0,2,0,14,2,6,9,0,11,0,83,0,0,6
Renewables & Environment,1,8,5,0,0,8,0,0,0,2,16,2,1,14,0,2,0,0,42,0,2
Telecommunications,0,5,14,3,1,42,0,0,0,0,4,6,5,5,0,1,0,1,1,47,2
Wholesale,6,6,32,0,1,9,0,0,0,1,22,4,8,13,0,8,0,9,0,2,111
