,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,201,3,14,4,1,31,1,0,0,1,19,10,3,21,0,0,0,1,0,0,7
Construction,0,223,17,5,1,48,1,0,7,1,30,15,4,16,0,2,11,1,3,0,1
Consumer Goods,10,12,248,2,0,76,0,0,1,1,35,8,4,65,5,4,2,12,2,1,18
Financial Services,8,2,4,287,0,60,8,3,2,0,1,21,5,3,1,3,2,1,0,0,1
Human Resources,0,3,0,2,111,32,0,1,1,0,2,31,6,0,1,3,0,0,0,0,0
Information Technology and Services,7,7,15,14,8,1281,0,1,2,5,8,57,35,18,18,11,2,1,2,7,6
Insurance,2,0,1,15,0,17,76,0,0,0,1,2,2,1,1,2,5,0,0,0,0
Legal Services,0,0,1,8,0,8,0,97,0,0,3,6,0,0,0,2,1,1,0,1,0
"Leisure, Travel & Tourism",1,0,2,0,0,9,0,0,95,1,1,2,3,1,0,0,2,5,0,0,0
Logistics and Supply Chain,3,3,7,2,0,24,0,1,0,82,5,7,2,5,1,2,0,0,1,0,2
Machinery,9,24,22,2,2,47,1,0,1,5,238,5,6,126,0,5,1,0,4,0,7
Management Consulting,1,11,5,10,24,161,3,6,1,3,7,367,29,8,6,12,4,2,3,0,4
Marketing and Advertising,3,7,9,5,0,80,0,1,1,1,0,23,345,4,24,5,2,2,1,0,9
Mechanical or Industrial Engineering,15,15,30,1,0,57,0,0,0,4,101,10,4,316,1,9,0,3,1,1,9
Media Production,1,2,13,2,2,91,0,0,3,0,1,11,59,0,52,2,1,0,0,0,1
Medical Practice,0,1,14,0,0,51,2,0,0,2,14,16,6,12,1,231,0,4,0,0,2
Real Estate,1,23,2,6,0,19,3,0,2,1,3,9,2,2,1,3,156,2,0,0,1
Recreational Facilities and Services,1,3,16,0,1,24,0,0,1,0,18,3,6,1,1,6,0,68,0,0,7
Renewables & Environment,1,7,5,0,0,18,0,0,0,1,19,3,0,13,0,0,0,0,36,0,0
Telecommunications,0,4,13,0,1,54,0,0,0,0,3,5,7,4,2,0,0,1,1,41,1
Wholesale,5,8,44,1,0,25,0,0,0,2,24,4,6,15,2,5,0,8,1,0,82
