feature,value
bauvorhaben,0.01488321740180254
methoden,0.009670793078839779
werbemittel,0.005186182912439108
patients,0.0038159966934472322
software,0.003690471174195409
vehicle,0.0036594816483557224
arzneimittel,0.0031374581158161163
unternehmensberatung,0.0029408326372504234
patienten,0.002471526386216283
vermo,0.0023603681474924088
marketing,0.002090857829898596
architekten,0.0020250536035746336
immobilien,0.0019951038993895054
fahrzeug,0.0019919767510145903
kandidaten,0.0019374176627025008
gas,0.001910043298266828
hotel,0.0018933335086330771
maschinenbau,0.0018845906015485525
snacks,0.0018748538568615913
construction,0.0018230767454952002
anlagen,0.0017194743268191814
cnc,0.001698134234175086
connectivity,0.0015697111375629902
consulting,0.0015183615032583475
fenster,0.0015072021633386612
finanzierung,0.0015041925944387913
elektronik,0.0014573837397620082
personalvermittlung,0.0014323786599561572
mandanten,0.0014285410288721323
stahl,0.0013873097486793995
machines,0.0013529324205592275
estate,0.001348531455732882
body,0.0013439231552183628
elektrotechnik,0.0013162890681996942
recruitment,0.0013039984041824937
fonds,0.0012364662252366543
bank,0.0012363807763904333
bau,0.001230200519785285
geschmack,0.0012209562119096518
brewing,0.0011683049378916621
logistics,0.0011652508983388543
fahrzeuge,0.001140169333666563
versicherungsmakler,0.0011380818905308843
automotive,0.0011104797013103962
personaldienstleister,0.0010995176853612065
transport,0.0010933197336271405
electronics,0.001068262616172433
drive,0.0010582893155515194
spedition,0.0010529406135901809
gesundheit,0.001034261891618371
sap,0.0010300198337063193
vehicles,0.0010072558652609587
mercedes,0.0009858193807303905
financial,0.000976419192738831
wohnungen,0.0009546034852974117
organisation,0.0009490872034803033
car,0.0009405607706867158
werbung,0.000932425435166806
elektro,0.0009211431606672704
oil,0.0009175849263556302
shops,0.0009169212426058948
solar,0.000914953532628715
voip,0.0008821082883514464
werbeagentur,0.0008752555586397648
fleisch,0.0008750662091188133
zutaten,0.0008493690984323621
mieter,0.0008242559270001948
sortiment,0.0008214879198931158
architects,0.0008128994959406555
telecom,0.0008076999220065773
photovoltaik,0.0007866016821935773
medical,0.0007862626807764173
electronic,0.0007860457408241928
bauen,0.0007755080005154014
recruiting,0.000774179061409086
bav,0.0007630419568158686
steuerberatungsgesellschaft,0.000759317830670625
glasfaser,0.0007535120821557939
werkzeugbau,0.0007534297183156013
pharma,0.0007509434362873435
payment,0.0007478975458070636
it,0.0007442506612278521
digitalagentur,0.0007368829683400691
automobil,0.0007309977663680911
automobilindustrie,0.0007291730144061148
cloud,0.0007107348064891994
litigation,0.0007105733966454864
berater,0.0007016340969130397
versicherungsschutz,0.0007015879382379353
insurance,0.0007006232044659555
auto,0.0006896308623254299
geba,0.0006877724081277847
voice,0.0006794920773245394
taste,0.0006776558584533632
transformation,0.0006616953178308904
konstruktion,0.0006571338744834065
media,0.0006398328114300966
maschinen,0.0006355103105306625
following,0.0006339200772345066
clinical,0.0006282763788476586
stellt,0.0006236875778995454
telefonie,0.0006222083466127515
erneuerbare,0.0006175976013764739
immobilie,0.0006158599280752242
agentur,0.0006152143469080329
creative,0.0006038565770722926
elektrischen,0.0006019854336045682
fertigen,0.0006009514327161014
metall,0.0005832976312376559
vera,0.0005823550163768232
projektierung,0.0005821864469908178
rechtsanwa,0.000581428233999759
therapy,0.000579937594011426
interior,0.0005785460234619677
finanz,0.0005627818172797561
wireless,0.0005617409478873014
