,precision,recall,f1-score,support
Automotive,0.7071428571428572,0.6246056782334385,0.663316582914573,317.0
Construction,0.6285714285714286,0.6269430051813472,0.6277561608300908,386.0
Consumer Goods,0.50853889943074,0.5296442687747036,0.5188770571151985,506.0
Financial Services,0.7842639593908629,0.75,0.7667493796526055,412.0
Human Resources,0.7189542483660131,0.5699481865284974,0.6358381502890174,193.0
Information Technology and Services,0.6364562118126272,0.8305647840531561,0.7206687806284231,1505.0
Insurance,0.7959183673469388,0.624,0.6995515695067265,125.0
Legal Services,0.8833333333333333,0.828125,0.8548387096774193,128.0
"Leisure, Travel & Tourism",0.85,0.8360655737704918,0.8429752066115703,122.0
Logistics and Supply Chain,0.7338709677419355,0.6190476190476191,0.6715867158671587,147.0
Machinery,0.4578544061302682,0.47326732673267324,0.46543330087633883,505.0
Management Consulting,0.5894245723172629,0.568215892053973,0.5786259541984734,667.0
Marketing and Advertising,0.6703499079189686,0.6973180076628352,0.6835680751173708,522.0
Mechanical or Industrial Engineering,0.51875,0.5753899480069324,0.5456039441248973,577.0
Media Production,0.48412698412698413,0.25311203319502074,0.332425068119891,241.0
Medical Practice,0.765625,0.6882022471910112,0.7248520710059172,356.0
Real Estate,0.8282828282828283,0.6949152542372882,0.7557603686635945,236.0
Recreational Facilities and Services,0.6428571428571429,0.5192307692307693,0.574468085106383,156.0
Renewables & Environment,0.7368421052631579,0.4077669902912621,0.525,103.0
Telecommunications,0.7857142857142857,0.32116788321167883,0.4559585492227979,137.0
Wholesale,0.5423728813559322,0.41379310344827586,0.46943765281173594,232.0
accuracy,0.6339627624455302,0.6339627624455302,0.6339627624455302,0.6339627624455302
macro avg,0.6794881136715984,0.5929201700405227,0.6244424467781039,7573.0
weighted avg,0.6385792010087541,0.6339627624455302,0.6286812378892784,7573.0
