,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,217,3,17,3,2,14,0,0,0,1,16,7,4,16,3,2,0,4,1,1,6
Construction,2,251,16,3,2,24,0,0,3,2,25,8,5,22,2,3,7,1,4,0,6
Consumer Goods,13,12,288,3,0,36,1,1,1,1,31,11,4,47,7,12,1,10,3,4,20
Financial Services,5,3,5,319,2,32,9,2,0,0,1,12,3,1,4,4,4,2,2,1,1
Human Resources,1,0,2,1,129,12,0,1,1,0,1,29,6,3,2,3,0,0,0,1,1
Information Technology and Services,7,4,25,18,7,1226,1,3,3,9,8,69,28,14,44,14,3,2,0,12,8
Insurance,1,1,3,12,1,6,88,0,0,0,1,2,2,3,0,1,4,0,0,0,0
Legal Services,0,0,2,5,0,3,0,111,0,0,3,0,0,1,0,1,1,0,0,1,0
"Leisure, Travel & Tourism",0,1,3,2,0,6,0,0,102,0,0,0,1,1,0,0,0,5,0,1,0
Logistics and Supply Chain,4,3,3,0,0,9,1,0,0,101,4,5,3,7,1,1,1,0,1,1,2
Machinery,16,19,18,2,3,30,1,0,0,1,248,6,0,122,1,13,4,1,6,1,13
Management Consulting,2,24,6,11,25,113,5,6,0,5,9,388,30,8,13,11,2,0,2,5,2
Marketing and Advertising,4,13,11,3,1,38,0,1,1,2,4,20,378,5,25,4,1,3,0,2,6
Mechanical or Industrial Engineering,19,23,30,1,4,36,0,1,0,4,94,10,5,321,1,7,1,4,1,1,14
Media Production,0,0,9,2,0,67,0,0,3,1,3,9,54,4,78,3,3,1,0,3,1
Medical Practice,1,1,10,2,1,25,2,1,0,1,11,11,3,16,0,262,0,6,1,0,2
Real Estate,2,17,4,8,0,9,1,1,2,2,4,2,4,3,1,4,171,1,0,0,0
Recreational Facilities and Services,0,3,10,0,1,9,0,0,2,0,12,1,6,10,1,7,0,89,1,1,3
Renewables & Environment,2,3,5,0,0,6,0,0,0,1,13,3,2,13,0,2,0,0,52,0,1
Telecommunications,0,6,14,1,1,38,0,0,0,1,3,5,4,4,1,0,0,0,1,55,3
Wholesale,4,4,37,0,1,9,0,0,1,2,24,3,4,12,0,8,0,9,1,1,112
