,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,198,2,18,3,2,28,0,0,0,4,16,11,6,23,0,2,0,1,0,0,3
Construction,1,242,20,3,0,27,0,0,3,1,33,16,7,16,0,1,10,1,0,0,5
Consumer Goods,11,13,268,4,0,53,0,1,0,0,32,12,5,61,4,3,3,7,4,2,23
Financial Services,7,2,5,309,0,44,9,3,2,0,0,20,2,0,0,4,4,1,0,0,0
Human Resources,1,0,2,2,110,26,0,1,1,0,3,33,9,1,0,4,0,0,0,0,0
Information Technology and Services,5,8,23,14,6,1250,3,2,2,9,6,69,35,13,29,17,2,4,1,5,2
Insurance,1,2,1,18,0,11,78,0,0,0,1,4,1,1,1,3,3,0,0,0,0
Legal Services,0,2,2,4,1,3,0,106,0,0,3,4,1,0,0,1,1,0,0,0,0
"Leisure, Travel & Tourism",1,1,2,1,0,6,0,0,102,0,0,1,1,0,1,0,2,4,0,0,0
Logistics and Supply Chain,5,2,6,2,1,13,1,0,0,91,7,5,2,7,0,2,0,0,1,0,2
Machinery,20,21,18,4,2,29,0,0,1,5,239,12,2,122,2,5,3,3,1,0,16
Management Consulting,3,17,6,13,25,149,3,5,0,2,5,379,29,4,6,12,3,0,3,2,1
Marketing and Advertising,4,9,13,3,1,60,0,0,2,2,3,24,364,5,20,4,1,3,0,2,2
Mechanical or Industrial Engineering,15,12,42,0,2,51,0,0,0,4,89,6,3,332,0,5,0,4,1,0,11
Media Production,0,2,15,3,1,89,0,1,3,0,0,8,53,1,61,1,0,0,0,1,2
Medical Practice,0,4,13,2,0,29,2,0,2,3,15,13,3,15,0,245,1,4,1,0,4
Real Estate,1,18,3,8,0,18,2,1,1,1,1,10,3,1,0,2,164,2,0,0,0
Recreational Facilities and Services,0,6,19,0,1,8,0,0,1,0,13,4,6,2,1,5,0,81,1,0,8
Renewables & Environment,1,6,6,0,0,12,0,0,0,0,20,3,0,13,0,0,0,0,42,0,0
Telecommunications,1,4,16,1,1,42,0,0,0,0,7,7,6,3,1,0,0,1,1,44,2
Wholesale,5,12,29,0,0,16,0,0,0,2,29,2,5,20,0,4,1,10,1,0,96
