feature,value
electronics,0.005885767284780741
photovoltaik,0.003430770942941308
vermo,0.002372617134824395
restaurant,0.0020460966043174267
automobil,0.001794400974176824
automotive,0.001363456598483026
plants,0.0013405533973127604
fahrzeug,0.001214694115333259
reports,0.001109038246795535
financial,0.0010449314722791314
oil,0.0010061508510261774
elektro,0.0010016652522608638
litigation,0.0009399594855494797
software,0.0009206610266119242
werkzeugmaschinen,0.0009098710725083947
liquidität,0.0008822489180602133
hosting,0.0008247437654063106
telecom,0.000793586834333837
fragestellungen,0.0007536193006671965
finanzierung,0.0006740585085935891
gesundheit,0.000670444336719811
lebensmittel,0.0006397261749953032
distributor,0.000633816875051707
auto,0.0006332712364383042
automation,0.0006318408413790166
geba,0.0006104200729168952
media,0.0005918225506320596
energien,0.0005686520016752183
trainings,0.000530329707544297
automobilindustrie,0.0005290302215144038
medizintechnik,0.0005229374510236084
biogas,0.0005154527025297284
fördertechnik,0.0004932256415486336
präzision,0.0004851249104831368
stores,0.00047863193321973085
begleiten,0.00046691950410604477
shops,0.00045907002640888095
rechtsanwälte,0.000455633009551093
pharma,0.00045405191485770047
uit,0.00045025331201031804
renewable,0.0004501633520703763
arbeitnehmerüberlassung,0.00044984702253714204
anha,0.0004439943877514452
campaigns,0.00041594161302782595
they,0.00040785627788864076
einführung,0.00040741663542576134
werbung,0.00040725161670707166
life,0.0004047032562084496
möchtest,0.00040240888483822346
rtl,0.0003999101754743606
innenausbau,0.0003978698223363608
speicher,0.0003976245643571019
body,0.000392728834412992
zielgruppen,0.0003926908830180764
industriellen,0.0003925795026589185
geöffnet,0.00038896899786777794
regelmäßig,0.00038692011730745435
estate,0.00037967029493302107
selbstständige,0.00037783687002956867
wholesale,0.0003756655496545136
fräsen,0.0003674669424071908
m²,0.0003625685640145093
remit,0.0003620799398049712
softwarelösungen,0.0003539646277204156
fitness,0.00035383139038458467
vera,0.0003533230337779969
vos,0.00034948065876960754
around,0.0003448827483225614
anreise,0.0003427339834161103
lagerung,0.00033711871947161853
offshore,0.0003361049748491496
ndler,0.0003332711348775774
trucks,0.0003331761108711362
200,0.000333113013766706
rme,0.00033204429200850427
consulting,0.00032790409750305116
fertigen,0.00032746707438491285
zuhause,0.0003240191435907036
zubehör,0.00032332673436030746
botschaft,0.0003231503942515701
apple,0.0003180847270414233
energia,0.0003134598082397133
sanita,0.0003115848230663687
construction,0.00031156401382759213
offices,0.00030999103910289705
automatisierung,0.0003051064850296825
units,0.0003042351745534688
instruments,0.0003013038949575275
hersteller,0.0002994168607983738
santé,0.0002983688027597964
peugeot,0.00029799845651723444
beschaffung,0.0002965275780297816
gebäude,0.0002949352783616632
diabetes,0.000293271237751469
compliance,0.00029070861637592316
range,0.00028380428557284176
énergie,0.0002837828069459647
geräte,0.00028319453122094274
elektronik,0.0002826705458573997
prozesse,0.0002804652904160321
