,precision,recall,f1-score,support
Automotive,0.7038327526132404,0.637223974763407,0.6688741721854305,317.0
Construction,0.6292428198433421,0.6243523316062176,0.6267880364109232,386.0
Consumer Goods,0.5736738703339882,0.5770750988142292,0.5753694581280788,506.0
Financial Services,0.7573529411764706,0.75,0.7536585365853659,412.0
Human Resources,0.7300613496932515,0.616580310880829,0.6685393258426966,193.0
Information Technology and Services,0.6878873239436619,0.8112956810631229,0.7445121951219512,1505.0
Insurance,0.7735849056603774,0.656,0.7099567099567099,125.0
Legal Services,0.873015873015873,0.859375,0.8661417322834646,128.0
"Leisure, Travel & Tourism",0.8559322033898306,0.8278688524590164,0.8416666666666667,122.0
Logistics and Supply Chain,0.7596899224806202,0.6666666666666666,0.7101449275362319,147.0
Machinery,0.49709864603481624,0.5089108910891089,0.50293542074364,505.0
Management Consulting,0.6214511041009464,0.5907046476761619,0.6056879323597234,667.0
Marketing and Advertising,0.6898395721925134,0.7413793103448276,0.7146814404432134,522.0
Mechanical or Industrial Engineering,0.5231481481481481,0.587521663778163,0.5534693877551019,577.0
Media Production,0.47191011235955055,0.34854771784232363,0.40095465393794755,241.0
Medical Practice,0.7589285714285714,0.7162921348314607,0.7369942196531792,356.0
Real Estate,0.845771144278607,0.7203389830508474,0.7780320366132724,236.0
Recreational Facilities and Services,0.6617647058823529,0.5769230769230769,0.6164383561643835,156.0
Renewables & Environment,0.6857142857142857,0.46601941747572817,0.5549132947976878,103.0
Telecommunications,0.6794871794871795,0.38686131386861317,0.49302325581395345,137.0
Wholesale,0.5761904761904761,0.521551724137931,0.5475113122171945,232.0
accuracy,0.6566750297108147,0.6566750297108147,0.6566750297108147,0.6566750297108147
macro avg,0.6835989479984811,0.6281661332034157,0.6509663367246104,7573.0
weighted avg,0.6576867549990022,0.6566750297108147,0.6539966319920937,7573.0
