,precision,recall,f1-score,support
Automotive,0.7433962264150943,0.6214511041009464,0.6769759450171822,317.0
Construction,0.6403269754768393,0.6088082901554405,0.6241699867197876,386.0
Consumer Goods,0.5234375,0.5296442687747036,0.5265225933202358,506.0
Financial Services,0.8092643051771117,0.720873786407767,0.7625160462130937,412.0
Human Resources,0.743421052631579,0.5854922279792746,0.6550724637681159,193.0
Information Technology and Services,0.6033755274261603,0.8551495016611296,0.7075316107751513,1505.0
Insurance,0.7878787878787878,0.624,0.6964285714285714,125.0
Legal Services,0.9196428571428571,0.8046875,0.8583333333333333,128.0
"Leisure, Travel & Tourism",0.8715596330275229,0.7786885245901639,0.8225108225108224,122.0
Logistics and Supply Chain,0.7706422018348624,0.5714285714285714,0.65625,147.0
Machinery,0.47339449541284406,0.5108910891089109,0.49142857142857144,505.0
Management Consulting,0.6,0.5442278860569715,0.5707547169811321,667.0
Marketing and Advertising,0.6805293005671077,0.6896551724137931,0.6850618458610848,522.0
Mechanical or Industrial Engineering,0.4856278366111952,0.5563258232235702,0.518578352180937,577.0
Media Production,0.42105263157894735,0.23236514522821577,0.2994652406417112,241.0
Medical Practice,0.77,0.648876404494382,0.7042682926829269,356.0
Real Estate,0.8267326732673267,0.7076271186440678,0.7625570776255708,236.0
Recreational Facilities and Services,0.6320754716981132,0.42948717948717946,0.5114503816793893,156.0
Renewables & Environment,0.65,0.3786407766990291,0.47852760736196326,103.0
Telecommunications,0.8245614035087719,0.34306569343065696,0.4845360824742268,137.0
Wholesale,0.52,0.33620689655172414,0.4083769633507853,232.0
accuracy,0.6264360227122673,0.6264360227122673,0.6264360227122673,0.6264360227122673
macro avg,0.6808056609359582,0.5751234743064999,0.6143484050168853,7573.0
weighted avg,0.6355529364643466,0.6264360227122673,0.6206058135245325,7573.0
