,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,202,2,15,2,2,13,1,0,0,1,24,10,4,27,1,3,0,4,1,0,5
Construction,2,241,17,5,2,17,0,0,1,1,31,13,9,26,1,3,8,1,4,0,4
Consumer Goods,10,23,292,3,1,37,0,1,1,0,34,5,10,44,2,9,1,11,3,2,17
Financial Services,8,4,4,309,2,36,11,2,1,0,1,19,4,1,2,3,3,0,0,2,0
Human Resources,1,1,2,4,119,15,1,0,0,0,1,35,5,2,1,2,0,1,1,1,1
Information Technology and Services,5,6,24,19,5,1221,1,4,1,10,5,75,37,23,40,10,2,2,1,9,5
Insurance,1,2,2,14,0,7,82,0,0,1,1,3,0,2,0,6,4,0,0,0,0
Legal Services,0,1,3,5,0,3,0,110,0,0,1,2,0,0,0,1,2,0,0,0,0
"Leisure, Travel & Tourism",0,0,2,0,1,5,0,0,101,0,2,1,3,1,0,0,1,5,0,0,0
Logistics and Supply Chain,5,2,5,0,0,7,0,0,0,98,7,5,2,7,1,1,0,1,1,2,3
Machinery,17,23,16,4,1,31,0,0,1,2,257,9,3,109,1,7,1,2,5,1,15
Management Consulting,5,15,9,14,22,126,3,6,0,2,6,394,25,7,9,10,3,2,2,5,2
Marketing and Advertising,2,10,5,3,1,40,0,0,2,2,3,22,387,3,32,4,0,1,0,1,4
Mechanical or Industrial Engineering,16,18,33,3,1,39,0,0,0,4,85,9,4,339,0,4,2,2,2,0,16
Media Production,1,1,8,6,1,73,0,1,3,1,1,5,43,2,84,2,2,2,0,2,3
Medical Practice,2,4,12,0,1,24,3,0,1,2,7,13,5,15,1,255,0,6,1,0,4
Real Estate,1,18,2,7,2,16,2,1,2,3,4,2,2,3,0,0,170,1,0,0,0
Recreational Facilities and Services,1,2,10,0,1,7,1,0,3,0,10,2,6,6,1,9,1,90,0,0,6
Renewables & Environment,3,4,5,2,0,7,0,0,0,0,14,3,1,15,0,0,0,0,48,0,1
Telecommunications,0,3,12,4,1,41,0,1,0,0,4,5,4,3,1,1,0,0,1,53,3
Wholesale,5,3,31,4,0,10,1,0,1,2,19,2,7,13,1,6,1,5,0,0,121
