,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,197,2,18,3,1,23,1,0,0,1,19,13,3,30,0,0,0,0,0,0,6
Construction,2,235,17,1,1,41,2,0,4,2,21,11,5,19,0,4,15,3,2,1,0
Consumer Goods,13,15,268,2,0,61,0,0,0,1,33,6,6,67,4,4,1,6,2,2,15
Financial Services,7,2,3,297,1,54,11,1,1,1,2,19,3,1,0,3,3,1,1,0,1
Human Resources,0,2,1,2,113,27,0,1,1,0,3,29,7,3,1,3,0,0,0,0,0
Information Technology and Services,5,7,17,13,6,1287,0,0,2,4,7,59,26,18,31,10,2,2,2,3,4
Insurance,2,0,1,14,0,15,78,0,0,0,2,5,1,0,0,2,5,0,0,0,0
Legal Services,0,1,0,6,0,6,0,103,0,0,3,5,0,0,1,2,1,0,0,0,0
"Leisure, Travel & Tourism",1,1,2,0,0,10,0,0,95,0,0,2,2,1,1,0,2,5,0,0,0
Logistics and Supply Chain,5,3,8,2,0,20,0,0,0,84,9,5,2,6,0,2,0,0,0,0,1
Machinery,8,19,18,2,0,47,0,0,0,4,258,10,5,110,0,5,1,0,4,1,13
Management Consulting,3,16,6,13,25,158,2,6,1,4,8,363,23,9,7,10,4,0,4,1,4
Marketing and Advertising,3,9,9,4,0,64,0,0,1,1,0,22,360,8,26,3,1,3,1,1,6
Mechanical or Industrial Engineering,13,16,36,0,1,63,0,0,0,2,95,11,2,321,0,3,0,3,2,0,9
Media Production,0,0,14,3,0,89,0,1,3,0,1,9,59,2,56,2,0,1,0,0,1
Medical Practice,0,1,15,0,0,50,2,0,0,1,15,15,5,15,1,231,0,3,0,0,2
Real Estate,0,21,2,3,0,20,3,0,0,1,2,9,2,2,0,2,167,2,0,0,0
Recreational Facilities and Services,0,1,12,0,3,24,0,0,1,0,17,3,5,5,1,8,0,67,1,1,7
Renewables & Environment,1,6,6,0,0,13,0,0,0,1,21,1,0,13,1,1,0,0,39,0,0
Telecommunications,0,3,16,1,1,44,0,0,0,0,3,4,6,6,1,0,0,1,1,47,3
Wholesale,5,7,43,1,0,17,0,0,0,2,26,4,7,25,2,5,0,9,1,0,78
