,precision,recall,f1-score,support
Automotive,0.7372013651877133,0.6813880126182965,0.7081967213114753,317.0
Construction,0.635678391959799,0.655440414507772,0.6454081632653061,386.0
Consumer Goods,0.5741444866920152,0.5968379446640316,0.5852713178294574,506.0
Financial Services,0.7734939759036145,0.779126213592233,0.7762998790810157,412.0
Human Resources,0.7469135802469136,0.6269430051813472,0.6816901408450704,193.0
Information Technology and Services,0.7062146892655368,0.8305647840531561,0.7633587786259542,1505.0
Insurance,0.7636363636363637,0.672,0.7148936170212765,125.0
Legal Services,0.8740157480314961,0.8671875,0.8705882352941177,128.0
"Leisure, Travel & Tourism",0.8869565217391304,0.8360655737704918,0.8607594936708861,122.0
Logistics and Supply Chain,0.7633587786259542,0.6802721088435374,0.7194244604316546,147.0
Machinery,0.5214723926380368,0.504950495049505,0.5130784708249497,505.0
Management Consulting,0.6426229508196721,0.5877061469265368,0.6139389193422083,667.0
Marketing and Advertising,0.7137681159420289,0.7547892720306514,0.733705772811918,522.0
Mechanical or Industrial Engineering,0.5419254658385093,0.6048526863084922,0.5716625716625716,577.0
Media Production,0.49122807017543857,0.34854771784232363,0.4077669902912621,241.0
Medical Practice,0.7705882352941177,0.7359550561797753,0.7528735632183908,356.0
Real Estate,0.84688995215311,0.75,0.795505617977528,236.0
Recreational Facilities and Services,0.6853146853146853,0.6282051282051282,0.6555183946488294,156.0
Renewables & Environment,0.6891891891891891,0.49514563106796117,0.5762711864406779,103.0
Telecommunications,0.654320987654321,0.38686131386861317,0.4862385321100917,137.0
Wholesale,0.5821596244131455,0.5344827586206896,0.5573033707865169,232.0
accuracy,0.6733130859632906,0.6733130859632906,0.6733130859632906,0.6733130859632906
macro avg,0.6952901700343234,0.6455867506347877,0.6661787713091029,7573.0
weighted avg,0.6728444148669178,0.6733130859632906,0.6700911902515218,7573.0
