,precision,recall,f1-score,support
Automotive,0.737410071942446,0.6466876971608833,0.689075630252101,317.0
Construction,0.6363636363636364,0.6528497409326425,0.6445012787723785,386.0
Consumer Goods,0.51171875,0.5177865612648221,0.5147347740667976,506.0
Financial Services,0.7969151670951157,0.7524271844660194,0.7740324594257179,412.0
Human Resources,0.7266666666666667,0.5647668393782384,0.6355685131195336,193.0
Information Technology and Services,0.6365914786967418,0.8438538205980066,0.7257142857142856,1505.0
Insurance,0.7549019607843137,0.616,0.6784140969162995,125.0
Legal Services,0.8688524590163934,0.828125,0.8480000000000001,128.0
"Leisure, Travel & Tourism",0.8521739130434782,0.8032786885245902,0.8270042194092827,122.0
Logistics and Supply Chain,0.7982456140350878,0.6190476190476191,0.6973180076628352,147.0
Machinery,0.4573502722323049,0.499009900990099,0.4772727272727273,505.0
Management Consulting,0.617056856187291,0.553223388305847,0.583399209486166,667.0
Marketing and Advertising,0.6863468634686347,0.7126436781609196,0.6992481203007519,522.0
Mechanical or Industrial Engineering,0.5,0.5684575389948007,0.5320356853203568,577.0
Media Production,0.47244094488188976,0.24896265560165975,0.32608695652173914,241.0
Medical Practice,0.7701863354037267,0.6966292134831461,0.7315634218289085,356.0
Real Estate,0.8629441624365483,0.7203389830508474,0.7852193995381062,236.0
Recreational Facilities and Services,0.6564885496183206,0.5512820512820513,0.5993031358885017,156.0
Renewables & Environment,0.7407407407407407,0.3883495145631068,0.5095541401273884,103.0
Telecommunications,0.75,0.3284671532846715,0.4568527918781726,137.0
Wholesale,0.5864197530864198,0.40948275862068967,0.4822335025380711,232.0
accuracy,0.6397728773273471,0.6397728773273471,0.6397728773273471,0.6397728773273471
macro avg,0.6866578188428455,0.5962699994147934,0.6293872550495296,7573.0
weighted avg,0.6457643349914335,0.6397728773273471,0.6345044470245288,7573.0
