,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,216,1,10,2,3,12,0,0,0,1,22,8,5,26,0,1,0,3,1,1,5
Construction,2,253,17,4,1,16,0,2,1,1,27,12,7,24,1,2,8,0,4,0,4
Consumer Goods,11,18,302,3,1,33,1,1,1,0,31,5,7,42,2,12,0,12,2,4,18
Financial Services,6,3,8,321,2,29,13,1,1,0,0,14,4,1,1,3,2,1,0,1,1
Human Resources,0,1,2,4,121,14,1,0,0,0,3,35,4,2,1,2,0,1,0,1,1
Information Technology and Services,4,4,26,18,5,1250,2,3,2,10,3,70,28,16,34,10,3,3,1,9,4
Insurance,2,2,2,14,0,8,84,0,0,0,1,3,1,2,0,3,3,0,0,0,0
Legal Services,0,1,2,7,0,2,0,111,0,0,1,1,0,0,0,2,1,0,0,0,0
"Leisure, Travel & Tourism",0,0,2,0,1,4,0,0,102,0,1,1,2,1,0,0,2,6,0,0,0
Logistics and Supply Chain,4,2,4,0,0,6,1,0,0,100,6,5,2,6,2,1,0,1,1,2,4
Machinery,15,25,18,2,1,30,0,0,0,2,255,8,2,113,0,7,2,2,6,1,16
Management Consulting,3,16,7,14,21,128,3,6,0,2,9,392,25,6,10,13,3,1,3,4,1
Marketing and Advertising,1,13,10,1,1,37,0,0,1,2,2,19,394,4,29,3,0,1,0,1,3
Mechanical or Industrial Engineering,18,20,35,2,1,36,0,0,0,4,74,8,2,349,1,3,3,2,2,0,17
Media Production,1,0,10,7,1,70,0,1,2,1,0,6,44,1,84,2,3,1,0,4,3
Medical Practice,2,4,12,0,0,24,3,0,1,2,9,11,3,14,1,262,0,4,1,0,3
Real Estate,0,19,1,9,1,10,2,1,1,3,3,2,3,1,1,1,177,1,0,0,0
Recreational Facilities and Services,0,5,9,0,1,5,0,0,2,0,9,1,6,5,2,7,1,98,1,0,4
Renewables & Environment,3,3,5,1,0,7,0,0,0,0,14,2,1,15,0,0,0,0,51,0,1
Telecommunications,0,3,14,3,1,39,0,1,0,1,4,4,5,3,1,0,0,0,1,53,4
Wholesale,5,5,30,3,0,10,0,0,1,2,15,3,7,13,1,6,1,6,0,0,124
