,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,205,1,13,4,1,30,0,0,0,2,14,12,4,24,2,1,0,1,0,0,3
Construction,1,252,17,1,1,30,0,0,2,3,30,13,7,16,0,2,7,1,0,0,3
Consumer Goods,10,18,262,2,0,54,0,1,0,0,39,9,6,64,2,4,1,11,1,2,20
Financial Services,7,2,5,310,0,45,11,4,2,1,0,16,1,0,0,4,3,1,0,0,0
Human Resources,2,3,0,4,109,25,1,1,1,0,2,31,8,2,1,3,0,0,0,0,0
Information Technology and Services,7,6,24,13,6,1270,2,1,2,5,11,50,34,18,25,14,2,5,1,7,2
Insurance,1,2,1,17,0,11,77,0,0,0,2,5,2,1,0,2,4,0,0,0,0
Legal Services,0,1,2,7,0,4,0,106,0,0,0,4,2,0,0,1,1,0,0,0,0
"Leisure, Travel & Tourism",1,1,2,1,0,10,0,0,98,0,0,1,2,1,0,0,1,4,0,0,0
Logistics and Supply Chain,3,1,6,1,1,17,0,0,0,91,9,4,1,8,0,2,0,0,1,0,2
Machinery,12,21,21,4,2,27,0,0,1,1,252,13,1,126,0,6,3,0,2,2,11
Management Consulting,3,17,9,12,22,153,3,6,0,2,5,369,31,5,7,12,4,1,3,2,1
Marketing and Advertising,4,9,13,3,2,60,1,0,2,2,1,18,372,4,22,3,1,1,0,1,3
Mechanical or Industrial Engineering,17,14,44,1,2,45,0,0,0,3,98,7,0,328,0,5,0,4,1,0,8
Media Production,0,2,13,4,1,89,0,1,3,0,0,11,52,2,60,0,0,0,0,1,2
Medical Practice,1,4,10,0,0,33,2,0,1,2,18,14,2,13,0,248,0,4,1,0,3
Real Estate,0,14,2,5,0,15,5,2,2,1,2,10,2,2,1,1,170,2,0,0,0
Recreational Facilities and Services,0,4,17,0,2,10,0,0,1,0,7,1,4,6,3,5,0,86,2,0,8
Renewables & Environment,1,7,2,0,0,11,0,0,0,0,24,2,1,12,1,2,0,0,40,0,0
Telecommunications,0,4,15,0,1,44,0,0,0,0,6,5,4,7,2,0,0,2,1,45,1
Wholesale,3,13,34,0,0,12,0,0,0,1,31,3,6,17,1,7,0,8,1,0,95
