,precision,recall,f1-score,support
Automotive,0.711340206185567,0.6529968454258676,0.680921052631579,317.0
Construction,0.6231155778894473,0.6424870466321243,0.6326530612244897,386.0
Consumer Goods,0.5764705882352941,0.5810276679841897,0.5787401574803149,506.0
Financial Services,0.7719298245614035,0.7475728155339806,0.7595561035758324,412.0
Human Resources,0.7391304347826086,0.616580310880829,0.6723163841807909,193.0
Information Technology and Services,0.6865921787709497,0.8166112956810632,0.7459787556904401,1505.0
Insurance,0.7864077669902912,0.648,0.7105263157894738,125.0
Legal Services,0.8934426229508197,0.8515625,0.8719999999999999,128.0
"Leisure, Travel & Tourism",0.8706896551724138,0.8278688524590164,0.8487394957983194,122.0
Logistics and Supply Chain,0.732824427480916,0.6530612244897959,0.6906474820143885,147.0
Machinery,0.500998003992016,0.497029702970297,0.4990059642147118,505.0
Management Consulting,0.6131045241809673,0.5892053973013494,0.6009174311926605,667.0
Marketing and Advertising,0.6830122591943958,0.7471264367816092,0.7136322049405307,522.0
Mechanical or Industrial Engineering,0.5227963525835866,0.5961871750433275,0.5570850202429148,577.0
Media Production,0.4827586206896552,0.34854771784232363,0.40481927710843374,241.0
Medical Practice,0.7604790419161677,0.7134831460674157,0.736231884057971,356.0
Real Estate,0.855,0.7245762711864406,0.7844036697247705,236.0
Recreational Facilities and Services,0.6692307692307692,0.5576923076923077,0.6083916083916083,156.0
Renewables & Environment,0.7164179104477612,0.46601941747572817,0.5647058823529411,103.0
Telecommunications,0.6575342465753424,0.35036496350364965,0.45714285714285713,137.0
Wholesale,0.5665024630541872,0.4956896551724138,0.5287356321839081,232.0
accuracy,0.6572032219727981,0.6572032219727981,0.6572032219727981,0.6572032219727981
macro avg,0.6866560702325981,0.6249376547677967,0.6498642971399493,7573.0
weighted avg,0.6585261852656549,0.6572032219727981,0.6541273300668026,7573.0
