,precision,recall,f1-score,support
Automotive,0.7386363636363636,0.6151419558359621,0.6712564543889845,317.0
Construction,0.6276595744680851,0.6113989637305699,0.6194225721784777,386.0
Consumer Goods,0.532520325203252,0.5177865612648221,0.5250501002004009,506.0
Financial Services,0.800524934383202,0.7402912621359223,0.7692307692307692,412.0
Human Resources,0.7307692307692307,0.5906735751295337,0.653295128939828,193.0
Information Technology and Services,0.6076555023923444,0.8438538205980066,0.7065368567454798,1505.0
Insurance,0.7647058823529411,0.624,0.6872246696035241,125.0
Legal Services,0.9122807017543859,0.8125,0.859504132231405,128.0
"Leisure, Travel & Tourism",0.8636363636363636,0.7786885245901639,0.8189655172413792,122.0
Logistics and Supply Chain,0.7345132743362832,0.564625850340136,0.6384615384615384,147.0
Machinery,0.46210720887245843,0.49504950495049505,0.47801147227533464,505.0
Management Consulting,0.6056105610561056,0.5502248875562219,0.5765907305577376,667.0
Marketing and Advertising,0.6793168880455408,0.685823754789272,0.682554814108675,522.0
Mechanical or Industrial Engineering,0.48270676691729325,0.5563258232235702,0.5169082125603864,577.0
Media Production,0.46853146853146854,0.27800829875518673,0.3489583333333333,241.0
Medical Practice,0.7564935064935064,0.6544943820224719,0.7018072289156626,356.0
Real Estate,0.8232323232323232,0.690677966101695,0.7511520737327189,236.0
Recreational Facilities and Services,0.6090909090909091,0.42948717948717946,0.5037593984962406,156.0
Renewables & Environment,0.6949152542372882,0.39805825242718446,0.5061728395061729,103.0
Telecommunications,0.7903225806451613,0.35766423357664234,0.4924623115577889,137.0
Wholesale,0.5192307692307693,0.34913793103448276,0.41752577319587636,232.0
accuracy,0.625775782384788,0.625775782384788,0.625775782384788,0.625775782384788
macro avg,0.6764028756802514,0.5782815584547389,0.6154690917838911,7573.0
weighted avg,0.6337284453038472,0.625775782384788,0.6206782366325281,7573.0
