,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,207,2,15,2,2,11,0,0,0,1,24,10,5,28,1,2,0,3,1,0,3
Construction,2,248,16,5,3,20,0,0,1,1,30,11,8,23,0,2,8,1,4,0,3
Consumer Goods,10,23,294,2,1,34,0,1,1,2,32,6,11,45,1,11,1,10,2,3,16
Financial Services,7,4,3,308,2,39,11,2,1,0,1,20,5,0,1,3,4,0,0,1,0
Human Resources,1,1,1,3,119,14,1,0,0,0,3,38,5,3,1,1,0,1,0,1,0
Information Technology and Services,5,7,27,18,4,1229,1,1,1,10,5,74,35,19,39,11,2,2,1,9,5
Insurance,1,1,2,14,0,10,81,0,0,1,1,6,0,2,0,4,2,0,0,0,0
Legal Services,0,1,2,4,0,7,0,109,0,0,1,1,0,0,0,1,1,0,0,0,1
"Leisure, Travel & Tourism",0,0,2,0,1,5,0,0,101,0,1,1,4,0,0,1,1,5,0,0,0
Logistics and Supply Chain,6,2,5,0,0,7,0,0,0,96,8,4,3,9,1,1,0,0,1,1,3
Machinery,17,28,15,3,1,33,0,0,1,2,251,8,2,110,2,8,1,2,4,1,16
Management Consulting,3,16,9,13,19,129,3,6,0,2,6,393,29,6,8,10,3,2,3,4,3
Marketing and Advertising,2,8,6,3,1,40,0,0,2,2,4,19,390,4,29,3,0,1,0,2,6
Mechanical or Industrial Engineering,18,17,32,3,1,39,0,0,0,5,81,11,4,344,1,3,1,2,1,1,13
Media Production,1,1,10,5,1,74,0,1,2,1,0,9,39,2,84,3,3,0,0,2,3
Medical Practice,1,5,13,0,1,22,3,0,1,2,6,12,5,18,2,254,0,6,1,0,4
Real Estate,1,18,3,7,2,13,2,1,1,3,4,3,4,3,0,0,171,0,0,0,0
Recreational Facilities and Services,0,3,9,0,1,7,1,0,3,0,10,3,7,6,2,9,1,87,0,0,7
Renewables & Environment,2,4,7,1,0,6,0,0,0,0,13,3,1,16,0,1,0,0,48,0,1
Telecommunications,0,4,11,4,1,41,0,1,0,1,5,5,6,4,1,0,0,0,1,48,4
Wholesale,7,5,28,4,1,10,0,0,1,2,15,4,8,16,1,6,1,8,0,0,115
