,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,195,2,14,3,1,29,2,0,0,1,20,12,2,28,0,0,0,1,0,0,7
Construction,0,236,16,1,2,37,2,0,4,1,22,18,3,20,0,2,15,3,3,0,1
Consumer Goods,12,16,262,1,0,60,0,0,1,1,36,10,4,64,4,2,1,11,2,3,16
Financial Services,7,3,3,305,0,49,11,2,2,2,1,13,3,2,1,3,3,1,1,0,0
Human Resources,0,3,0,1,114,30,0,1,1,0,2,25,8,4,1,3,0,0,0,0,0
Information Technology and Services,4,6,16,11,6,1270,0,0,2,6,12,67,29,16,33,11,2,3,2,3,6
Insurance,1,0,0,16,0,17,78,0,0,0,3,4,0,0,0,2,4,0,0,0,0
Legal Services,0,0,0,8,1,4,1,104,0,0,1,1,1,2,1,3,1,0,0,0,0
"Leisure, Travel & Tourism",1,2,0,1,0,9,0,0,95,0,0,1,2,1,1,1,2,6,0,0,0
Logistics and Supply Chain,5,2,10,2,0,20,0,0,0,83,5,5,3,7,0,2,0,0,0,0,3
Machinery,7,24,20,2,3,38,1,0,0,3,250,8,4,124,0,4,1,0,2,1,13
Management Consulting,3,14,4,12,23,152,2,6,0,4,7,367,29,7,8,16,4,1,2,2,4
Marketing and Advertising,4,8,7,4,0,69,0,0,1,1,2,26,358,6,20,5,1,1,1,1,7
Mechanical or Industrial Engineering,17,13,39,0,1,59,0,0,0,3,90,10,2,321,0,5,0,4,2,1,10
Media Production,0,0,14,3,1,83,0,0,3,0,1,8,55,2,67,2,0,0,0,2,0
Medical Practice,0,1,13,0,1,47,2,0,0,1,17,13,3,18,2,233,1,3,0,0,1
Real Estate,0,21,3,5,0,18,3,1,0,2,3,9,3,3,0,1,163,0,0,0,1
Recreational Facilities and Services,1,1,17,1,2,22,0,0,1,0,17,2,7,4,1,7,0,67,2,0,4
Renewables & Environment,2,8,5,1,0,13,0,0,0,1,19,2,0,9,1,1,0,0,41,0,0
Telecommunications,0,5,13,3,1,44,0,0,0,0,4,3,5,5,1,0,0,1,1,49,2
Wholesale,5,11,36,1,0,20,0,0,0,4,29,2,6,22,2,5,0,8,0,0,81
