,precision,recall,f1-score,support
Automotive,0.7239057239057239,0.6782334384858044,0.7003257328990229,317.0
Construction,0.6320987654320988,0.6632124352331606,0.6472819216182049,386.0
Consumer Goods,0.5868725868725869,0.6007905138339921,0.59375,506.0
Financial Services,0.7866004962779156,0.7694174757281553,0.7779141104294479,412.0
Human Resources,0.7484662576687117,0.6321243523316062,0.6853932584269663,193.0
Information Technology and Services,0.7042889390519187,0.8292358803986711,0.7616722612145255,1505.0
Insurance,0.7678571428571429,0.688,0.7257383966244725,125.0
Legal Services,0.888,0.8671875,0.8774703557312253,128.0
"Leisure, Travel & Tourism",0.8717948717948718,0.8360655737704918,0.8535564853556485,122.0
Logistics and Supply Chain,0.7777777777777778,0.6666666666666666,0.717948717948718,147.0
Machinery,0.5183673469387755,0.502970297029703,0.5105527638190955,505.0
Management Consulting,0.6321656050955414,0.5952023988005997,0.6131274131274131,667.0
Marketing and Advertising,0.7112299465240641,0.764367816091954,0.7368421052631579,522.0
Mechanical or Industrial Engineering,0.5425038639876353,0.608318890814558,0.5735294117647058,577.0
Media Production,0.4911242603550296,0.34439834024896265,0.40487804878048783,241.0
Medical Practice,0.7690058479532164,0.7387640449438202,0.7535816618911175,356.0
Real Estate,0.8669950738916257,0.7457627118644068,0.8018223234624146,236.0
Recreational Facilities and Services,0.6713286713286714,0.6153846153846154,0.6421404682274249,156.0
Renewables & Environment,0.704225352112676,0.4854368932038835,0.5747126436781609,103.0
Telecommunications,0.6835443037974683,0.39416058394160586,0.5,137.0
Wholesale,0.5792079207920792,0.5043103448275862,0.5391705069124423,232.0
accuracy,0.6733130859632906,0.6733130859632906,0.6733130859632906,0.6733130859632906
macro avg,0.6979695597340729,0.6442862273142973,0.6662575517702215,7573.0
weighted avg,0.6733119438287395,0.6733130859632906,0.6700748058802367,7573.0
